source 	 dest 	 fft_centralized 	 fft_DSTAP 	 flow_Centralized 	 flow_DSTAP
1899	2000701	0.45000045	0.45000045	1.0	1.0
2520	2000502	0.36	0.36	207.9999999999998	208.00000000000009
1000002	7088	0.29999985	0.29999985	4.0	4.0
2914	2905	0.272727273	0.272727273	300.66150000000005	294.784701042185
6206	6203	0.149999925	0.149999925	4868.370268516512	4699.3451762828245
4627	4626	1.094999453	1.094999453	3.9888900000000005	24.93597687671422
5481	5480	1.2625	1.2625	3.0	3.0
3015	3011	0.072727273	0.072727273	2225.031814999995	1880.5503977003552
1619	2000897	0.524999738	0.524999738	0.0	0.0
1000198	4000	1.23000123	1.23000123	39.0	39.0
2716	7318	0.194999903	0.194999903	0.0	0.0
1000421	3474	0.72000072	0.72000072	0.0	0.0
1000127	4882	1.52	1.52	87.0	87.0
6292	4186	0.083333333	0.083333333	2100.381809999986	2057.4946125884408
5604	5623	0.809999595	0.809999595	12.0	180.61640284823744
1863	1257	0.75000075	0.75000075	14.0	14.0
1000346	3821	0.81000081	0.81000081	512.1636950000001	397.71852817208196
4591	2000868	3.524998238	3.524998238	4.0	7.0
1000908	1656	0.24	0.24	23.0	23.0
6993	4951	0.054545455	0.054545455	916.1415699999999	951.8100890244566
7170	5813	1.7999991	1.7999991	18.0	18.0
1000216	4090	0.647999482	0.647999482	313.2100000000002	314.0058637609832
5825	5834	0.306383109	0.306383109	546.0	561.9999999999995
2330	2328	0.051428601	0.051428601	0.0	0.0
5711	1190	1.531915545	1.531915545	2030.9490199999977	1940.8039011256387
5318	5282	0.143478198	0.143478198	142.847415	289.00335250860746
6739	7455	1.37999931	1.37999931	0.0	0.0
1282	2000912	0.27000027	0.27000027	1.0	1.0
3321	3307	0.31199975	0.31199975	1937.8676230498668	1895.7169621859675
4947	4948	1.016666667	1.016666667	658.0618400000002	687.677456303057
5939	5936	0.84827557	0.84827557	1146.94321	1265.9054359211084
4593	7113	0.2	0.2	413.0	390.0
5369	5370	0.145454545	0.145454545	1107.6158050000001	1055.9998850214263
4944	6096	0.655813648	0.655813648	11145.519188271544	11616.011416640067
1123	1157	0.581250363	0.581250363	313.24272000000013	348.01664555435747
6822	5937	2.1375	2.1375	0.0	0.0
1000971	5739	0.335999731	0.335999731	43.0	43.0
4343	2000267	0.68	0.68	201.99880499999986	205.23146432660567
1935	1936	1.484999258	1.484999258	253.1709956950082	221.25197557616028
1122	2000197	0.38	0.38	25.0	33.0
3938	3995	0.309090909	0.309090909	2451.1085199999884	2167.1228356215715
3413	7256	0.033333333	0.033333333	1206.8445607224617	296.27656072053884
1000518	2991	1.319998944	1.319998944	62.163695	68.0000580040283
6227	2000170	0.92	0.92	628.23161	598.0004364112614
3180	3218	0.321951377	0.321951377	16907.080717450786	16438.76767876774
7095	4572	1.364999318	1.364999318	87.0	69.0
5600	1204	0.449999775	0.449999775	26.01667	81.00013613645896
1000848	2249	2.309998845	2.309998845	56.0	130.0
1931	1814	0.46	0.46	1126.1790499999988	1105.955023432448
4029	4009	0.345454545	0.345454545	2890.547069999997	2586.0017973726317
1351	1363	0.7875	0.7875	732.6557613494989	757.4491992453861
6469	6467	0.1375	0.1375	1827.5326599999976	1811.2723099731286
4199	2000266	0.88799929	0.88799929	25.400949999999995	175.63588362035125
6493	5597	1.424999288	1.424999288	250.32156499999982	183.00109102815205
1000236	3540	0.54000054	0.54000054	1022.0000000000005	1022.0
3344	3350	0.191999846	0.191999846	2825.109369999978	812.7388261340635
2638	7439	0.214285714	0.214285714	4354.976582523624	4426.607940121566
1000993	5661	2.03999898	2.03999898	39.0	38.999999999999986
3809	3808	0.275	0.275	2190.150381692059	1623.1468451288558
5894	4787	0.08936174	0.08936174	165.0	233.6059267000376
2332	2329	0.166666667	0.166666667	1664.0	1413.0
4778	4779	0.636363636	0.636363636	979.0	912.0000000000005
1238	1239	0.71999964	0.71999964	357.85960865050754	349.80438603662657
3979	3948	0.572726752	0.572726752	1180.0	754.0
3949	4040	0.165517356	0.165517356	2295.0726650000024	2211.578433144567
4602	4600	1.034999483	1.034999483	14.0	14.0
6910	6915	0.472727273	0.472727273	1353.324384999991	1855.1338353548538
3505	3778	0.21818162	0.21818162	868.4091042610709	752.8639402550189
5958	5258	0.459574664	0.459574664	4469.727517767664	4735.9611641841375
3397	1786	0.636363636	0.636363636	115.63725691904466	165.4799561027292
1000633	7135	0.5999997	0.5999997	306.7275500000002	243.2499916658491
2259	2000090	1.109999445	1.109999445	12.0	12.0
1000435	2577	1.48	1.48	833.0000000000003	350.8132689204686
5814	5793	1.812766729	1.812766729	992.615805	987.0002182056306
1518	7370	0.434042738	0.434042738	1104.23161	1089.9999960009482
6264	4969	0.385714286	0.385714286	13759.133174826453	13885.516949587558
5739	2000971	0.335999731	0.335999731	40.0	40.0
3230	3229	0.506250316	0.506250316	843.851829302515	1478.4457179805818
5755	2000923	0.68	0.68	57.0	60.0
4000	2000198	1.23000123	1.23000123	523.0	702.220616650704
2343	2321	0.466666667	0.466666667	116.0	164.75237322416854
5193	5154	0.218181818	0.218181818	1457.3360550000023	1952.3722914519833
3493	3498	0.506250316	0.506250316	642.5977000000024	495.7125430405867
5689	5692	0.29999985	0.29999985	88.76839000000001	167.99999999999997
2306	2305	0.533333333	0.533333333	2944.7779450000003	2610.2499121116016
2949	2963	0.436363636	0.436363636	1685.6184450000012	1692.8181676816293
3774	2000331	0.84000084	0.84000084	373.0798050000001	366.44325233790886
1001050	4926	1.98	1.98	4.0	4.0
1000422	3467	0.84	0.84	16.52128	38.64319695422294
3889	3896	0.310345042	0.310345042	801.1303600000001	829.0466041975343
1541	1463	0.306383109	0.306383109	168.0	175.0
1455	1456	1.034042993	1.034042993	158.0	165.0
3841	3864	0.090909091	0.090909091	1687.5415999999989	1451.1115102561282
4906	2000955	0.929999535	0.929999535	24.0	24.0
3564	3600	1.11000111	1.11000111	30.0	28.0
3878	3879	0.381818182	0.381818182	2027.7969899999996	1722.2672854938426
1315	1314	1.184999408	1.184999408	317.0	281.21669491554286
5511	5514	1.006450964	1.006450964	77.28887000000005	62.65532639360487
4017	4011	0.090909091	0.090909091	2834.4073504885228	2468.2401793178587
7327	1208	0.53999973	0.53999973	46.818474999999985	64.37597389132003
2610	2000305	1.28	1.28	0.0	0.0
5704	6733	2.789998605	2.789998605	63.0	84.0
3715	2000342	0.503999597	0.503999597	14.0	14.0
5537	5536	1.334999333	1.334999333	263.95915999999994	200.25042807710952
2901	2912	0.654545455	0.654545455	1935.311591526529	968.5815767509778
1275	1340	1.187234548	1.187234548	534.4138550000014	604.5705522868263
2409	2386	0.516666667	0.516666667	2190.715954737915	2343.5722372784726
6640	2000595	1.91999904	1.91999904	0.0	0.0
3991	2000231	1.14000114	1.14000114	2169.3170599999994	1987.062108641512
4764	4763	0.533333333	0.533333333	795.0	807.0
1471	7372	1.094999453	1.094999453	27.0	27.0
3344	3345	0.125	0.125	1390.8069782995733	1176.551198479071
2693	2751	1.049999475	1.049999475	23.0	50.0
5762	2000888	0.42	0.42	40.0	40.0
4501	4507	0.187500117	0.187500117	699.5142850000007	590.0724438742553
1198	2001020	1.589999205	1.589999205	1.0	1.0
1800	2533	0.763636364	0.763636364	1218.8973250000008	1321.0683811112665
6052	6049	0.641379089	0.641379089	1868.1609699999965	1807.0698042389301
4298	4249	0.556097832	0.556097832	21867.676700903554	21458.50794467183
6981	6980	0.5999997	0.5999997	137.0	125.0
3023	3164	0.335999731	0.335999731	2643.58414352754	2346.6819615115282
6113	2001070	1.06	1.06	66.0	65.0
3705	3685	0.310345042	0.310345042	202.57011	387.6242013596966
6021	7323	0.134999933	0.134999933	262.5898349999999	397.1595916394302
1000298	4330	1.391998886	1.391998886	330.0	403.0
1131	1165	0.945454545	0.945454545	1999.6028849999939	2131.202616458692
2023	2024	0.6	0.6	6160.445531485436	6097.580476900883
3576	3575	0.558621075	0.558621075	4.0	112.92760726600093
4951	1161	0.527272727	0.527272727	3646.8852549999924	3376.4959031380827
1960	1956	0.764999618	0.764999618	16.0	55.0
4782	7043	0.612766218	0.612766218	419.0000000000001	483.99999999999994
1961	2000844	1.13999943	1.13999943	75.0	75.0
1972	6792	0.2	0.2	1118.4819460608044	1044.1262503356525
7309	5618	0.704999648	0.704999648	223.21773000000033	252.4670785016637
2608	2000031	1.18	1.18	488.0000000000003	487.9999999999995
3993	6209	0.037500023	0.037500023	1347.4385899999927	1532.915417014035
3545	3543	0.26	0.26	1054.3372800000006	925.0161671003405
6137	6135	0.542857143	0.542857143	2541.3236682665074	2279.8253142108383
3591	4413	0.804878441	0.804878441	5391.037570000111	5350.815433030826
5413	6666	0.35999982	0.35999982	433.0	352.27808737149286
7101	4661	0.35	0.35	1340.6169571948353	1567.3238146986116
3836	3835	0.145454545	0.145454545	2566.563300738941	2395.512571156939
5170	5169	1.068750668	1.068750668	479.61580499999997	477.00021820563063
5231	4844	0.994286282	0.994286282	366.7719999999999	422.2874022247148
5035	5042	0.933333333	0.933333333	2912.9627699999983	2750.0149523594023
3139	2000470	0.87000087	0.87000087	282.61324000000025	366.6717498737348
5333	5338	0.218181818	0.218181818	1174.9888899999999	1357.9927485131477
2767	2766	0.42	0.42	1084.6161749999999	923.3452478439068
4257	3561	0.585714286	0.585714286	2804.283195	3379.702898846981
6539	6451	1.033333333	1.033333333	2422.413389999991	2270.8914727504175
3802	3766	0.8	0.8	0.0	0.0
1966	1967	1.349999325	1.349999325	19.0	19.0
5311	5306	0.205714403	0.205714403	777.604695	770.0106662620045
3337	3340	0.175	0.175	1373.6180034351075	1895.1758676036952
3013	3014	0.109090909	0.109090909	4959.322196458503	4919.454775254002
5980	5395	1.125000703	1.125000703	478.9763843457226	449.42831990998076
5825	2000645	0.83999958	0.83999958	16.0	16.0
1000493	2865	1.103999117	1.103999117	1704.0	1696.9999999999984
1365	1387	2.384998808	2.384998808	41.0	41.0
1000150	5407	0.8	0.8	131.0	131.0
1000346	3770	0.93000093	0.93000093	250.067915	138.85385767660816
7248	4322	0.036363636	0.036363636	1052.0255350000014	916.0741046489128
3821	3820	0.742857143	0.742857143	1482.1724007389234	1279.8915583392431
5270	5269	0.243750152	0.243750152	190.384195	191.99978179436968
1000477	3013	1.38000138	1.38000138	105.84850000000013	259.77028247148166
1392	1393	0.944681253	0.944681253	717.5480143049883	887.6819150665726
3162	3163	0.254545455	0.254545455	5132.527399384595	4499.916880989615
4784	4788	0.868085476	0.868085476	2019.0816799999989	1863.454665259664
4498	6392	1.068750668	1.068750668	390.89237000000094	390.86764257912256
5735	5734	0.3	0.3	225.0	250.0
5420	5422	1.634999183	1.634999183	38.0	41.0
5888	5889	0.117391253	0.117391253	68.0	60.0
7181	7185	2.069998965	2.069998965	59.931905000000015	17.000000000000004
4282	4277	0.381818182	0.381818182	1772.2199599999967	1376.6471776081921
6341	2474	0.702127958	0.702127958	1992.5459549999887	1497.6954593806379
5019	5023	0.290909091	0.290909091	237.079025	232.0010910281513
2414	2342	1.256250785	1.256250785	1153.4120500000008	1185.52440907461
6639	6670	0.584999708	0.584999708	156.09991000000016	220.80045500780608
4656	4687	1.046808956	1.046808956	2157.0309513241514	1250.8516059619892
3195	3178	0.109090909	0.109090909	1875.9608349999821	1784.119691063803
3676	3675	0.506250316	0.506250316	241.0759399999997	244.5168508076386
1000502	2520	0.36	0.36	263.0	263.0
6437	2697	1.072340882	1.072340882	568.3775310608053	490.25327693947105
1001075	4833	1.5	1.5	896.0	895.9999999999999
6836	6840	1.013792754	1.013792754	2305.2541888284445	3006.3645613525227
1000039	3981	0.86	0.86	954.3953050000001	962.2002503418669
2270	2000076	1.24	1.24	161.99999999999994	162.0000000000001
5337	5365	2.625001641	2.625001641	115.0	115.0
4457	6674	0.6	0.6	1126.8932900000004	1099.745087914838
4026	2000248	0.39000039	0.39000039	1310.9999999999966	1311.0
4301	4294	0.703448761	0.703448761	956.1589849999998	1017.8066137442158
4350	6322	0.675000422	0.675000422	1153.0846700000002	853.9999999999997
1126	4957	0.442857143	0.442857143	8335.884470000126	7828.942173609316
3243	3244	0.15483861	0.15483861	4044.560516327856	3247.486376896087
7110	4569	0.325	0.325	1755.3953049999998	1628.325197788675
6912	6919	0.408510812	0.408510812	581.5620340719391	1064.5711752211191
2341	2329	0.466666667	0.466666667	3883.617641928419	3529.9969332376604
6716	6560	0.191489443	0.191489443	1982.4700349999994	1847.6716824963855
1000849	3172	0.2	0.2	178.0879350000001	213.07644143847781
3253	3367	0.537931405	0.537931405	825.9554289519757	677.5286051268599
4360	4359	0.959999232	0.959999232	0.0	0.0
5893	5883	1.272413354	1.272413354	4327.631569333031	3979.8109235596116
3184	3189	0.450000281	0.450000281	2748.7417213834906	2987.7995680371037
4639	2000925	1.12	1.12	489.0	489.00000000000017
2599	2602	0.109090909	0.109090909	2512.427236171446	2123.4850224282436
3423	3424	0.360000206	0.360000206	3615.3173177573076	3508.75572545107
1135	1235	1.183333333	1.183333333	335.23161	331.0000820691713
5299	5300	1.0625	1.0625	3415.3871061715513	1997.3193798028217
3976	3978	1.554544041	1.554544041	69.04999999999997	225.33081448686752
4524	6680	0.76875048	0.76875048	404.69543000000067	288.64217677810905
6962	2000794	0.68	0.68	172.0	172.0
4173	4348	0.15483861	0.15483861	1560.220389999998	1576.6678692033327
4698	4708	1.335483009	1.335483009	617.615805	593.0
5403	5409	1.4	1.4	301.62999999999994	303.0
1000718	1582	0.48000048	0.48000048	62.0	62.0
5676	1210	2.57999871	2.57999871	33.0	58.0
5984	5983	1.0	1.0	298.3965599999999	315.7501031982633
6961	6960	0.15	0.15	25.384195	47.99978179436973
4164	4153	0.254545455	0.254545455	3098.8139764317575	3264.397224485881
5790	2000884	0.71999964	0.71999964	0.0	0.0
3138	3129	0.145454545	0.145454545	3382.397397386962	3542.026502514153
7034	4668	0.033333333	0.033333333	1549.5614708896733	1899.357388294872
2831	3817	0.18000018	0.18000018	395.47621902820964	419.40339243550693
5328	5329	1.213333333	1.213333333	7599.075831171593	7095.095865218791
5983	2000208	1.32	1.32	145.76839	153.99991793082862
3918	3882	0.054545455	0.054545455	4243.86716499998	4105.442048202625
1000462	2575	0.623999501	0.623999501	169.27775499999967	211.15286613646276
6733	5704	2.789998605	2.789998605	65.0	87.0
4394	4455	0.54375034	0.54375034	2219.7013599999987	2246.5996645985847
5360	5347	0.290322393	0.290322393	1049.4632199999994	1089.0007946900905
1000517	2958	0.551999558	0.551999558	1694.8363049999987	1684.9999419959736
6610	6609	0.166666667	0.166666667	0.0	0.0
6754	2000546	1.22	1.22	327.0	326.9999999999996
6770	6067	0.289655073	0.289655073	510.1146760608049	690.6175239677298
1000276	3912	1.02000102	1.02000102	328.0	343.8787711599994
1606	1607	0.685713796	0.685713796	23.0	23.0
2133	2132	3.794998103	3.794998103	140.0	106.0
6322	6326	0.300000188	0.300000188	3617.6292499999995	3362.00989328206
1000367	2658	1.2	1.2	79.5348200000001	101.09613785747632
2634	2646	0.45	0.45	1323.367569999985	1382.0029509358749
3638	2000355	1.11000111	1.11000111	32.44161000000001	33.39229374217026
1546	1514	0.163636364	0.163636364	206.44225499999993	495.6513636404351
3592	4253	0.144827686	0.144827686	1823.957309999988	1761.726587477949
2270	2264	0.316666667	0.316666667	1141.4647149999978	1140.0440028643793
1000553	2692	1.334999333	1.334999333	53.423264999999965	126.00000000000001
7187	7183	1.85999907	1.85999907	6.76839	18.0
7101	4674	0.333333333	0.333333333	512.3557799999998	680.3300266944152
2410	2000525	1.32	1.32	150.0	162.0
5366	5369	0.883333333	0.883333333	449.61580499999997	399.9998850214271
1271	2000771	0.569999715	0.569999715	0.0	0.0
3814	3666	0.76	0.76	19.890000000000004	24.704780049851355
5710	5709	1.200000511	1.200000511	776.472	781.0009280644529
2262	2217	0.9625	0.9625	1132.5080842933448	1470.290405151726
3633	3653	1.158621489	1.158621489	1973.0388009999385	1785.3539353147976
7016	7134	4.454997773	4.454997773	18.0	18.0
1000331	3773	0.9000009	0.9000009	590.5305850000004	443.98761818756134
1000466	2560	0.719999424	0.719999424	312.4038100000002	291.6311553033816
1162	4145	0.636363636	0.636363636	2949.761625000002	3197.6919428319607
1000969	5837	0.914999543	0.914999543	9.0	9.0
5237	7011	0.900000563	0.900000563	1206.1531949999999	1405.2590484874258
6097	5135	0.545454545	0.545454545	515.483145	620.4197874819334
2007	2000826	0.54	0.54	344.0	340.0
5452	5457	0.57446833	0.57446833	402.1171949999999	639.5747855064573
4869	5946	0.55	0.55	387.0	383.0
2889	3482	0.54375034	0.54375034	818.0054000000011	792.2575924271711
2666	2673	0.318750199	0.318750199	420.15715000000165	229.15759598063784
1000989	5795	1.25999937	1.25999937	1.0	1.0
4531	6536	0.393750246	0.393750246	438.65550000000053	561.0204461321086
4729	7024	0.363636364	0.363636364	2125.077865000001	2213.242941623787
6538	4499	0.693750434	0.693750434	233.99824499999946	237.06220671594534
2457	2000512	0.623999501	0.623999501	151.0	126.0
5800	7157	1.124999438	1.124999438	28.0	27.99999999999999
1000442	2870	0.84	0.84	830.97961177351	432.2372686041382
1190	2001004	2.654998673	2.654998673	0.0	0.0
1000265	4262	0.93000093	0.93000093	558.0	558.0
7178	5663	1.31999934	1.31999934	21.0	21.0
3170	2760	0.434483058	0.434483058	860.7478730103734	714.2584534564202
5713	6733	1.214999393	1.214999393	65.0	87.0
6321	6415	0.225000141	0.225000141	740.9388900000001	404.64306313814785
5568	5565	0.1375	0.1375	379.615805	380.00021820563035
6875	6879	0.225	0.225	588.3234649999999	801.9481889042863
6006	6007	0.247825979	0.247825979	197.6437749999998	65.99978179436975
1682	1683	0.857142245	0.857142245	162.0	198.0
1000407	3298	0.27000027	0.27000027	14.067915000000001	13.193973842218513
7418	7419	0.145454545	0.145454545	2570.7356446804124	2173.0302626995
1000479	3010	1.17000117	1.17000117	743.2105550000001	783.0959834826651
1140	4536	0.618750387	0.618750387	165.8441050000003	149.02028044323868
4427	4416	0.181818182	0.181818182	1828.576279999998	1850.2752234235047
5455	5456	0.638298144	0.638298144	254.0	298.0
6229	7262	0.618181818	0.618181818	1739.7732949999975	1507.7230506831165
2922	2937	0.862500539	0.862500539	949.290819999999	1311.453642489177
3594	4450	0.72000072	0.72000072	0.0	0.0
4873	5942	0.209999895	0.209999895	26.881999999999998	35.00156019135282
2347	2370	0.54375034	0.54375034	1632.4960664924754	1075.013879645363
5786	7188	2.774998613	2.774998613	30.610340000000004	48.000000000000064
6748	6563	0.65	0.65	3981.3607571890807	4016.40755313877
4283	4282	0.290909091	0.290909091	937.5388000000002	578.9997237903416
1484	2000741	1.484999258	1.484999258	3.0	3.0
5799	5632	1.289999355	1.289999355	18.0	17.999999999999996
1798	3697	0.093750059	0.093750059	403.8303750000023	586.390559644127
3731	2000284	1.3	1.3	339.2303900000001	352.61244364326814
2897	2867	0.2	0.2	2096.4490307389274	1562.0964332125798
5000	1129	0.654545455	0.654545455	1611.4538449999977	1426.5796800943021
4879	5048	0.95	0.95	2174.1380293457264	2468.373171031991
1001027	5550	1.334999333	1.334999333	3.0	3.0
3512	3923	0.218181818	0.218181818	2122.0300399999987	2051.0904320351087
1000679	1359	2.489998755	2.489998755	97.25149999999998	95.96060504971102
1000745	1304	1.469999265	1.469999265	17.0	17.00000000000001
1750	6423	1.4	1.4	1088.7270932253182	1024.7286049215343
6129	6115	0.516666667	0.516666667	721.1376950000001	978.2062327743973
6260	3503	0.414285714	0.414285714	9676.530056483529	9415.456570245762
5926	5930	0.29999987	0.29999987	57.0	55.0
3946	3947	0.363636364	0.363636364	3406.529770000003	3049.010154640737
1000880	5275	0.64	0.64	942.0	941.0000000000003
1179	5121	0.960000549	0.960000549	0.0	0.0
2333	2341	0.6	0.6	3768.804631928418	3162.8670840443256
1000418	2877	0.431999654	0.431999654	64.384195	67.90659687879462
4417	4401	0.6	0.6	1494.948994999994	1422.5790006354782
1175	1173	0.163636364	0.163636364	1108.9490200000012	958.7797458519883
1000033	2629	1.86	1.86	328.4470900000003	299.39642754597725
6978	2478	0.44571454	0.44571454	0.0	0.0
5085	5086	0.32	0.32	0.0	0.0
3280	2000455	0.69000069	0.69000069	794.9748802644856	464.18292920358004
3386	3385	0.058064479	0.058064479	1596.9682208924548	1465.6972676546973
3360	2830	0.191999846	0.191999846	4655.835052371201	4009.383407057295
1584	2000720	0.39000039	0.39000039	47.0	50.0
5835	5834	0.459574664	0.459574664	636.119865	670.7500083341521
3157	3127	0.218181818	0.218181818	2500.063873873888	2206.022088773982
5800	5799	1.649999175	1.649999175	2.0	2.0
5864	5863	0.740425847	0.740425847	6795.689325000116	6941.817980007859
1000221	4387	1.2000012	1.2000012	653.0000000000007	629.9999999999999
1000287	3634	1.14000114	1.14000114	107.2205	108.9997237903414
6579	2287	1.0	1.0	2075.285462792399	1766.7317752735798
5743	5742	0.05	0.05	274.85288	233.0
3503	2000274	0.54000054	0.54000054	218.99999999999966	187.99999999999986
6399	6751	0.672727273	0.672727273	649.6732200000001	765.0013784144309
5498	2001049	1.13999943	1.13999943	10.0	10.0
3601	3598	1.17000117	1.17000117	40.0	45.0
6325	2822	0.083333333	0.083333333	1370.244214999991	1288.1983613775953
1000339	1737	0.82	0.82	1.0	1.0
2393	2422	0.76875048	0.76875048	393.22789	470.60119430404603
7152	5705	0.357446961	0.357446961	467.38419500000003	483.99971605370325
2320	2322	1.2	1.2	23.0	19.0
4494	2000565	2.51999874	2.51999874	26.0	26.0
4398	4399	0.765517769	0.765517769	273.0	279.0
7235	7096	0.509999745	0.509999745	0.0	0.0
2252	2235	0.194999903	0.194999903	501.78318729170445	425.24148218293766
5461	1189	0.625532181	0.625532181	847.285295	929.9874409866298
2316	2317	0.788571879	0.788571879	1990.7720549999892	1599.5193137329475
1369	2001108	2.609998695	2.609998695	33.0	33.0
3791	3818	0.514285714	0.514285714	584.9209950000004	867.4890420860883
2607	2652	0.356250223	0.356250223	750.5823198198071	973.9755739059302
1315	1355	0.914999543	0.914999543	194.86380999999977	140.45176521123219
3138	1775	0.843750527	0.843750527	2115.887180000008	2011.575479172295
1000325	3751	0.9000009	0.9000009	168.0	178.00000000000003
3969	4050	0.381818182	0.381818182	2325.310139999965	2374.9654448794295
2618	2000029	1.544999228	1.544999228	1288.9999999999998	1289.0000000000014
2313	2315	0.35	0.35	1033.0	1030.999999999999
4902	4857	0.963636364	0.963636364	1031.3830950000001	1073.8828778508957
4064	4070	0.381818182	0.381818182	708.1913350000007	579.0274081020268
4591	2000869	1.169999415	1.169999415	14.0	14.0
1918	1288	0.272727273	0.272727273	1931.5463489391916	1808.1499967402185
6172	5303	0.858620394	0.858620394	5577.310620000017	5404.095569277193
7396	1552	0.466666667	0.466666667	1733.0	1674.2859115619146
5780	2000883	1.289999355	1.289999355	11.0	11.0
2584	2000460	0.983999213	0.983999213	1099.5861999999997	1043.1253220151855
2171	2184	1.24	1.24	6224.0208589392505	6010.250339366616
4905	4906	0.357446961	0.357446961	161.0	169.0
4576	2000871	5.009997495	5.009997495	53.0	53.0
2471	2460	0.581250363	0.581250363	2841.774200694992	2570.100282106852
2390	2386	1.08750068	1.08750068	3056.498713054454	2361.6487485390844
3469	3462	0.466666667	0.466666667	2296.709054345142	2320.305810877963
6326	2000267	0.44	0.44	386.00119500000005	382.7685356733947
6722	4803	0.548936404	0.548936404	566.0	452.0
7208	7209	0.434999783	0.434999783	74.10063499999998	89.26195328621674
