Origin 	 destination 	 od demand 	 od travel time(min)
4	17	500.0	33.957102736221294
4	18	100.0	34.567807724061
4	19	200.0	35.698013368687924
4	20	300.0	38.827364650932175
4	21	200.0	40.72912760406624
4	22	400.0	40.458788736645936
4	23	500.0	29.90313351269473
4	24	200.0	28.975722633611042
5	1	200.0	10.596969503807031
5	2	100.0	16.597803225597353
5	3	100.0	6.588383347849704
5	4	500.0	2.3170928830617155
5	6	200.0	9.99828311148862
5	7	200.0	30.190163397182815
5	8	500.0	24.688847918366925
5	9	800.0	9.651163567144637
5	10	1000.0	15.333730509436112
5	11	500.0	9.450393363241606
5	12	200.0	10.608564886829125
5	13	200.0	13.631366279894236
5	14	100.0	23.142364091797404
5	15	200.0	29.056544523346318
5	16	500.0	35.41730674174355
5	17	200.0	31.641747660176534
5	19	100.0	33.38265829264317
5	20	100.0	36.512009574887415
5	21	100.0	42.34356254351584
5	22	200.0	38.14343366060118
5	23	100.0	32.22022639575644
6	1	300.0	12.600354114713905
6	2	400.0	6.599520114108734
6	3	300.0	16.609044420576897
6	4	400.0	12.337754221230337
6	5	200.0	10.020661338168622
6	7	400.0	20.191880285694197
6	8	800.0	14.690564806878305
6	9	400.0	19.67182490531326
6	10	800.0	25.354391847604735
6	11	400.0	19.47105470141023
6	12	200.0	20.629226224997748
6	13	200.0	23.65202761806286
6	14	100.0	33.163025429966034
6	15	200.0	39.07720586151494
6	16	900.0	25.419567916958613
6	17	500.0	34.918020568622616
6	18	100.0	22.254169536527616
6	19	200.0	36.026102720649
6	20	300.0	26.513726463398793
6	21	100.0	34.68063549174624
6	22	200.0	34.226856463704024
6	23	100.0	42.240887733925064
6	24	100.0	41.31347685484138
7	1	500.0	32.97548540176615
7	2	200.0	26.97465140116098
7	3	100.0	36.98417570762913
7	4	400.0	32.712885508282575
7	5	200.0	30.39579262522086
7	6	400.0	20.37513128705224
7	8	1000.0	5.551712405190707
7	9	600.0	20.725074227157144
7	10	1900.0	25.462974053329468
7	11	500.0	37.86845219997992
7	12	700.0	41.00435733508903
7	13	400.0	44.02699217598471
7	14	200.0	32.54406804385984
7	15	500.0	20.169749436936783
7	16	1400.0	5.228258155437047
7	17	1000.0	14.726710807101052
7	18	200.0	2.062289250833419
7	19	400.0	15.834222434954805
7	20	500.0	6.321846177704598
7	21	200.0	14.488755206052042
7	22	500.0	14.034976178009822
7	23	200.0	26.400474442790415
7	24	100.0	26.412840472993267
8	1	800.0	27.42377299657544
8	2	400.0	21.422938995970267
8	3	200.0	31.432463302438432
8	4	700.0	27.161173103091873
8	5	500.0	24.844080220030158
8	6	800.0	14.823418881861533
8	7	1000.0	5.501315478815892
8	9	800.0	15.173361821966438
8	10	1600.0	20.85592876425791
8	11	800.0	33.261406910908356
8	12	600.0	35.452645106859286
8	13	600.0	38.475446499924395
8	14	400.0	38.04538352267573
8	15	600.0	25.671064915752673
8	16	2200.0	10.729003110080306
8	17	1400.0	20.22745576174431
8	18	300.0	7.5636047296493105
8	19	700.0	21.335537913770697
8	20	900.0	11.823161656520488
8	21	400.0	19.990070684867934
8	22	500.0	19.53629165682571
8	23	300.0	31.901789921606305
8	24	200.0	31.91415595180916
9	1	500.0	20.26768790187074
9	2	200.0	26.268521623661066
9	3	100.0	16.259101745913416
9	4	700.0	11.987811281125426
9	5	800.0	9.67071839806371
9	6	400.0	19.66900150955233
9	7	600.0	20.538614716795337
9	8	800.0	15.037299237979447
9	10	2800.0	5.682566942291474
9	11	1400.0	18.088045088941918
9	12	600.0	20.279283284892834
9	13	600.0	23.30208467795795
9	14	600.0	31.779699563124737
9	15	900.0	19.40538095620168
9	16	1400.0	25.76625803606245
9	17	900.0	21.9905840930319
9	18	200.0	22.600903967628756
9	19	400.0	23.73149472549853
9	20	600.0	26.860460894499933
9	21	300.0	32.692398976371194
9	22	700.0	28.492270093456543
9	23	500.0	40.85776835823713
9	24	200.0	40.96353391473647
10	1	1300.0	25.985391844072538
10	2	600.0	31.986225565862863
10	3	300.0	21.976805688115213
10	4	1200.0	17.70551522332722
10	5	1000.0	15.388422340265508
10	6	800.0	25.38670545175413
10	7	1900.0	25.309863574498706
10	8	1600.0	20.75500318018124
10	9	2800.0	5.717703942201797
10	11	4000.0	12.405478146650445
10	12	2000.0	25.996995291899005
10	13	1900.0	29.01980474976849
10	14	2100.0	26.097290748019756
10	15	4000.0	13.722814013910208
10	16	4400.0	20.083031945603754
10	17	3900.0	16.308017150740426
10	18	700.0	23.246619492053984
10	19	1800.0	18.048927783207056
10	20	2500.0	27.505376416798743
10	21	1200.0	27.009832034079725
10	22	2600.0	22.80970315116507
10	23	1800.0	35.17516917330108
10	24	800.0	38.93397218263079
11	1	500.0	15.502901175939451
11	2	200.0	21.503717328117812
11	3	300.0	11.494315019982123
11	4	1500.0	7.223024555194135
11	5	500.0	9.538379631238893
11	6	400.0	19.53666274272751
11	7	500.0	37.51296501886871
11	8	800.0	32.95810462455124
11	9	1400.0	17.920805386571796
11	10	3900.0	12.20310144437
11	12	1400.0	13.59152521005293
11	13	1000.0	16.61432660311804
11	14	1600.0	13.6919707285558
11	15	1400.0	25.92611966412344
11	16	1400.0	32.286133389973756
11	17	1000.0	28.51111859511043
11	18	100.0	35.44972093642399
11	19	400.0	30.25223343342029
11	20	600.0	39.70788206488555
11	21	400.0	38.28195388804538
11	22	1100.0	35.01300464428501
11	23	1300.0	22.769833032514835
11	24	600.0	26.528548917590182
12	1	200.0	8.028374890716764
12	2	100.0	14.029191042895123
12	3	200.0	4.019788734759436
12	4	600.0	8.289169668493816
12	5	200.0	10.604524744538573
12	6	200.0	20.6028253746666
12	7	700.0	40.79449558509997
12	8	600.0	35.29325597091749
12	9	600.0	20.255688311683212
12	10	2000.0	25.938497250849284
12	11	1400.0	13.73563780335388
12	13	1300.0	3.022801393065112
12	14	700.0	27.42760853190968
12	15	700.0	39.661528067613176
12	16	700.0	46.02168301754968
12	17	600.0	42.246514401589714
12	18	200.0	42.85678483593339
12	19	300.0	43.98787123677417
12	20	400.0	40.52055720738305
12	21	300.0	32.43765560029884
12	22	700.0	36.65043573860582
12	23	700.0	24.407064078085924
12	24	500.0	20.684250629843635
13	1	500.0	11.051853880522888
13	2	300.0	17.052670032701247
13	3	100.0	7.043267724565561
13	4	600.0	11.31264865829994
13	5	200.0	13.628003734344698
13	6	200.0	23.626304364472723
13	7	400.0	43.81959410232007
13	8	600.0	38.316734960723615
13	9	600.0	23.279167301489338
13	10	1900.0	28.96197624065541
13	11	1000.0	16.759116793160004
13	12	1300.0	3.0234789898061245
13	14	600.0	30.449599499255623
13	15	700.0	42.68398328278752
13	16	600.0	44.924131008514365
13	17	500.0	45.269993391395836
13	18	100.0	41.75816210391074
13	19	300.0	47.01030726425381
13	20	600.0	37.497755814317934
13	21	600.0	29.414854207233724
13	22	1300.0	33.62763434554049
13	23	800.0	21.38426268502081
13	24	800.0	17.661449236778523
14	1	300.0	29.34728013035832
14	2	100.0	35.34809628253668
14	3	100.0	25.338693974400993
14	4	500.0	21.067403509613005
14	5	100.0	23.38275858565776
14	6	100.0	33.38104169714638
14	7	200.0	32.33976591421051
14	8	400.0	37.891478319401216
14	9	600.0	31.76515245604937
14	10	2100.0	26.04741662890628
14	11	1600.0	13.844378954418866
14	12	700.0	27.4359041644718
14	13	600.0	30.45039643376506
14	15	1300.0	12.234353141410867
14	16	700.0	33.442390047545516
14	17	700.0	23.97282879972532
14	18	100.0	30.276521831765784
14	19	300.0	16.560466910707717
14	20	500.0	26.01611554217298
14	21	400.0	24.58998315948958
14	22	1200.0	21.32123812157244
14	23	1100.0	9.077862303959034
14	24	400.0	12.836578189034382
15	1	500.0	39.79845533156796
15	2	100.0	45.799280268552295
15	3	100.0	35.789869175610626
15	4	500.0	31.518578710822638
15	5	200.0	29.201485827760923
15	6	200.0	39.199768939249545
15	7	500.0	20.10541277279964
15	8	600.0	25.657125177990345
15	9	1000.0	19.530767429697214
15	10	4000.0	13.813063487495414
15	11	1400.0	26.218619597743892
15	12	700.0	39.810058779394424
15	13	700.0	42.824921531841454
15	14	1300.0	12.374318606923058
15	16	1200.0	21.208036906134648
15	17	1500.0	11.738475658314453
15	18	200.0	18.042168690354917
15	19	800.0	4.32611376929685
15	20	1100.0	13.781762400762112
15	21	800.0	13.287018020169516
15	22	2600.0	9.086889137254863
15	23	1000.0	21.452284156458777
15	24	400.0	25.211103287110745
16	1	500.0	38.20231705491657
16	2	400.0	32.20148307856688
16	3	200.0	42.21117894614988
16	4	800.0	37.93988849753221
16	5	500.0	35.62262427837128
16	6	900.0	25.601962940202668
16	7	1400.0	5.226831628894952
16	8	2200.0	10.778544082596614
16	9	1400.0	25.952077200236456
16	10	4400.0	20.234715897892425
16	11	1400.0	32.64019404454287
16	12	700.0	46.23132156089241
16	13	600.0	45.127957013340755
16	14	700.0	33.645266029715145
16	15	1200.0	21.270947422792084
16	17	2800.0	9.498452651664003
16	18	500.0	3.163587546450229
16	19	1300.0	16.93542042081011
16	20	1600.0	7.423144473321407
16	21	600.0	15.590053501668852
16	22	1200.0	15.13627447362663
16	23	500.0	27.501772738407226
16	24	300.0	27.514138768610078
17	1	400.0	42.29340899481296
17	2	200.0	41.67104432638708
17	3	100.0	38.284822838855625
17	4	500.0	34.013532374067644
17	5	200.0	31.69643949100593
17	6	500.0	35.07152421227834
17	7	1000.0	14.696392876715146
17	8	1400.0	20.24810533041681
17	9	900.0	22.025721092942216
17	10	3900.0	16.308017150740422
17	11	1000.0	28.713495297390867
17	12	600.0	42.305012442639416
17	13	500.0	45.327805770900156
17	14	700.0	24.146813378051142
17	15	1500.0	11.772494771128084
17	16	2800.0	9.469561247820195
17	18	600.0	12.633148794270424
17	19	1700.0	7.436967769146107
17	20	1700.0	16.892661060876485
17	21	600.0	25.05956377039332
17	22	1700.0	20.859383908382945
17	23	600.0	33.22477892758686
17	24	300.0	36.98363204430267
18	1	100.0	35.03872948421087
18	4	100.0	34.77612959072731
18	6	100.0	22.438375369496963
18	7	200.0	2.0632440824447227
18	8	300.0	7.614956487635429
18	9	200.0	22.78831830960187
18	10	700.0	23.400684802496052
18	11	200.0	35.8061629491465
18	12	200.0	43.06760132905328
18	13	100.0	41.96436946689053
18	14	100.0	30.481778793026418
18	15	200.0	18.10746018610336
18	16	500.0	3.1659689046036275
18	17	600.0	12.66442155626763
18	19	300.0	13.771933184121385
18	20	400.0	4.259556926871178
18	21	100.0	12.426465955218623
18	22	300.0	11.972686927176401
18	23	100.0	24.338185191956995
19	1	300.0	44.13398233354994
19	2	100.0	42.75395040466377
19	4	200.0	35.85410571280462
19	5	100.0	33.5370128297429
19	6	200.0	36.154430290555034
19	7	400.0	15.77929900350279
19	8	700.0	21.331011408693495
19	9	400.0	23.866294431679187
19	10	1800.0	18.14859048947739
19	11	400.0	30.55414659972587
19	12	300.0	44.145671809778804
19	13	300.0	47.160345288246745
19	14	300.0	16.709845608905034
19	15	800.0	4.335527001981975
19	16	1300.0	16.881973481249748
19	17	1700.0	7.412361889017603
19	18	300.0	13.716054921058067
19	20	1200.0	9.455648631465262
19	21	400.0	17.6225513409821
19	22	1200.0	13.422416139236839
19	23	300.0	25.787811158440753
19	24	100.0	29.54663660792333
20	1	300.0	39.29913577380368
20	2	100.0	33.29830177319851
20	4	300.0	39.0365358803201
20	5	100.0	36.71944299725839
20	6	300.0	26.69878165908977
20	7	500.0	6.3236503720375286
20	8	900.0	11.875362777228236
20	9	600.0	27.04872459919467
20	10	2500.0	27.661028919408228
20	11	600.0	40.06660082057411
20	12	500.0	40.728291529825476
20	13	600.0	37.704812540019354
20	14	500.0	26.22222186615524
20	15	1100.0	13.847903259232185
20	16	1600.0	7.426375194196432
20	17	1700.0	16.92478299606412
20	18	400.0	4.260406289592805
20	19	1200.0	9.512376257250207
20	21	1200.0	8.166909028347444
20	22	2400.0	7.713130000305224
20	23	700.0	20.078628265085815
20	24	400.0	20.090994295288674
21	1	100.0	40.5897573921948
21	4	200.0	40.85055216997185
21	5	100.0	42.47064554543576
21	6	100.0	34.781683266173985
21	7	200.0	14.40655197912174
21	8	400.0	19.958264384312447
21	9	300.0	32.799927147372046
21	10	1200.0	27.082223205170248
21	11	400.0	38.556614483837194
21	12	300.0	32.561382501478036
21	13	600.0	29.53790351167191
21	14	400.0	24.71223552941833
21	15	800.0	13.269159717674835
21	16	600.0	15.509276801280645
21	17	600.0	25.00768241446697
21	18	100.0	12.34330789667702
21	19	400.0	17.595275675653053
21	20	1200.0	8.082901607084214
21	22	1800.0	4.212780138306771
21	23	700.0	15.646898715183516
21	24	500.0	11.924085266941228
22	1	400.0	44.78988627510945
22	2	100.0	41.01143177350374
22	3	100.0	40.78130011915216
22	4	400.0	40.57495829019071
22	5	200.0	38.25786540712899
22	6	200.0	34.411911659394995
22	7	500.0	14.036780372342756
22	8	500.0	19.588492777533464
22	9	700.0	28.58714700906528
22	10	2600.0	22.869443066863482
22	11	1100.0	35.27514558707214
22	12	700.0	36.76151138439272
22	13	1300.0	33.738032394586625
22	14	1200.0	21.430766632653267
22	15	2600.0	9.056379579368066
22	16	1200.0	15.13950519450166
22	17	1700.0	20.794855237682516
22	18	300.0	11.973536289898034
22	19	1200.0	13.382493348664916
22	20	2400.0	7.713130000305228
22	21	1800.0	4.200128882914653
22	23	2100.0	12.365498264780594
22	24	1100.0	16.124214149855913
23	1	300.0	32.42438801032891
23	3	100.0	28.415801854371587
23	4	500.0	30.132740323847816
23	5	100.0	32.44809539989257
23	6	100.0	42.4463785113812
23	7	200.0	26.280152032862865
23	8	300.0	31.83186443805357
23	9	500.0	40.830519912405435
23	10	1800.0	35.11281472738359
23	11	1300.0	22.90971576865368
23	12	700.0	24.396013119612153
23	13	800.0	21.372534129806027
23	14	1100.0	9.065336814234815
23	15	1000.0	21.299720597766928
23	16	500.0	27.38287685502177
23	17	600.0	33.03822689820263
23	18	100.0	24.216907950418143
23	19	300.0	25.625834367063778
23	20	700.0	19.95650166082534
23	21	700.0	15.51212085553055
23	22	2100.0	12.243371660520113
23	24	700.0	3.7587158850753486
24	1	100.0	28.66567212525357
24	4	200.0	28.926466903030622
24	6	100.0	41.24014012784281
24	7	100.0	26.159956949576944
24	8	200.0	31.71166935476765
24	9	200.0	40.89298554622001
24	10	800.0	38.83560857609161
24	11	600.0	26.63252921689597
24	12	500.0	20.637297234536803
24	13	700.0	17.61381824473068
24	14	400.0	12.788150262477103
24	15	400.0	25.02254426004949
24	16	300.0	27.26268177173585
24	17	300.0	36.761089573603535
24	19	100.0	29.348680646108257
24	20	400.0	19.836306577539414
24	21	500.0	11.7534049704552
24	22	1100.0	15.966185108762186
24	23	700.0	3.722813448242289
