~,Tail,Head,Capacity (veh/h),Length,Free Flow Time,B,Power,Speed,Toll ,Type,;
,201550,234739,79242,4.157874,5.091274,0.8,2.3,45,0,2,
,234860,200913,31581,1.653975,1.741027,0.92,2.3,55,0,2,
,21733,234861,2400000,4.175555,8.35111,0.8,2.3,30,0,2,
,201572,315005,31581,3.0781,3.240105,0.92,2.3,55,0,2,
,21730,234864,2400000,5.663485,11.326969,0.8,2.3,30,0,2,
,203094,200896,89856,3.812413,3.04993,2,2.35,60,0,2,
,200145,200146,0,16.562632,0,1.881291,2,45,0,2,
,200142,200146,31581,9.191002,9.674738,1.881291,2,55,0,2,
,21859,201012,2400000,3.470671,6.941341,0.8,2.3,30,0,2,
,200967,234855,33457,1.856516,1.525903,0.8,2.3,70,0,2,
,21861,234854,2400000,2.42343,4.846861,0.8,2.3,30,0,2,
,200972,234854,31581,1.625596,1.950715,0.92,2.3,45,0,2,
,200230,237007,42840,7.178246,7.425772,0.8,2.3,55,0,2,
,200232,200233,31581,0.675626,0.555309,1.881291,2,70,0,2,
,200234,200233,31581,3.603008,5.68896,0.92,2.3,30,0,2,
,200188,200190,31581,14.458695,13.770186,1.881291,2,60,0,2,
,200255,200253,31581,3.261912,3.374392,1.881291,2,55,0,2,
,200255,21186,2400000,2.666802,5.333604,0.8,2.3,30,0,2,
,21859,200990,2400000,1.922737,3.845475,0.8,2.3,30,0,2,
,21861,234855,2400000,1.191159,2.382319,0.8,2.3,30,0,2,
,200974,315009,79242,2.154472,2.638129,0.8,2.3,45,0,2,
,21626,234895,2400000,5.162424,10.324848,0.8,2.3,30,0,2,
,201874,201879,66915,2.324934,2.78992,0.8,2.3,45,0,2,
,200952,200945,33129,0.170303,0.185785,1.572944,2,55,0,2,
,200952,200953,31581,0.478057,0.521516,1.881291,2,55,0,2,
,200931,200932,31581,0.910674,0.993463,1.881291,2,55,0,2,
,201837,201839,31581,5.224615,5.699579,1.881291,2,55,0,2,
,201842,201843,0,2.378944,0,1.881291,2,45,0,2,
,200925,200914,31581,3.11167,3.394549,1.881291,2,55,0,2,
,21733,234862,2400000,6.618517,13.237034,0.8,2.3,30,0,2,
,4609,200586,31581,4.796898,5.23298,1.881291,2,55,0,2,
,200902,315008,31581,0.707866,0.772217,0.92,2.3,55,0,2,
,203069,203070,31581,3.96854,4.105386,0.8,2.3,55,0,2,
,203067,203071,0,9.062043,0,1.881291,2,0,0,2,
,203072,203073,31581,0.044004,0.045521,0.92,2.3,55,0,2,
,200309,200315,31581,10.160245,10.510598,1.881291,2,55,0,2,
,200312,200316,0,8.968223,0,0.92,2.3,55,0,2,
,200265,200264,31581,7.108769,7.353899,1.572944,2,55,0,2,
,200850,200851,31581,3.085944,3.192355,1.881291,2,55,0,2,
,200332,21523,2400000,6.318451,12.636903,0.8,2.3,30,0,2,
,200334,200335,89856,4.913673,3.930938,2,2.35,60,0,2,
,200783,200784,31581,4.624094,4.783545,0.92,2.3,55,0,2,
,21717,200787,2400000,6.28313,12.566259,0.8,2.3,30,0,2,
,200751,200752,31581,4.724937,4.887866,1.881291,2,55,0,2,
,200707,200708,85679,2.318095,2.39803,0.8,2.3,55,0,2,
,200714,200715,88765,0.978185,1.029668,1.12,2,55,0,2,
,200367,200369,88503,6.696457,5.503938,0.8,2.3,70,0,2,
,200371,200370,0,5.090291,0,1.881291,2,55,0,2,
,201762,203896,31581,2.970689,3.073127,0.92,2.3,55,0,2,
,21533,200369,2400000,1.043814,2.087629,0.8,2.3,30,0,2,
,201757,203865,42840,3.577134,3.700484,0.8,2.3,55,0,2,
,202487,200088,88503,3.17475,2.609383,0.8,2.3,70,0,2,
,202488,200090,31581,4.606344,4.765183,1.881291,2,55,0,2,
,200428,200433,0,5.123044,0,1.881291,2,55,0,2,
,202526,200056,42840,12.24333,12.665514,0.8,2.3,55,0,2,
,202582,202584,31581,1.984774,2.053215,1.881291,2,55,0,2,
,204818,22098,2400000,13.09648,26.192961,0.8,2.3,30,0,2,
,202532,22098,2400000,7.334313,14.668626,0.8,2.3,30,0,2,
,236817,22098,2400000,10.840133,21.680265,0.8,2.3,30,0,2,
,22121,236816,2400000,2.447142,4.894284,0.8,2.3,30,0,2,
,202608,201399,89856,3.57528,2.860224,2,2.35,65,0,2,
,203533,203565,79242,6.011573,7.213887,0.8,2.3,45,0,2,
,218091,21164,2400000,16.907818,33.815636,0.8,2.3,30,0,2,
,202631,202635,0,4.349664,0,1.881291,2,55,0,2,
,202636,202637,31581,4.539873,4.696421,0.92,2.3,55,0,2,
,202644,201283,33129,3.139235,2.769913,1.572944,2,65,0,2,
,201474,234963,31581,3.968402,4.762082,1.881291,2,45,0,2,
,201491,201492,31581,6.308341,6.52587,1.572944,2,55,0,2,
,201494,201492,0,4.982588,0,1.881291,2,0,0,2,
,234877,21723,2400000,6.557262,13.114524,0.8,2.3,30,0,2,
,200447,203555,31581,5.928689,6.133126,0.92,2.3,55,0,2,
,48191,237337,4800000,14.58277,19.443695,0.8,2.3,45,0,2,
,200464,200465,31581,3.195022,3.305195,0.92,2.3,55,0,2,
,48191,200465,4800000,2.55344,3.404587,0.8,2.3,45,0,2,
,200443,200444,31581,6.462449,6.685292,0.92,2.3,55,0,2,
,201542,201538,42840,1.979431,2.047687,1.12,2,55,0,2,
,201542,235030,0,2.584897,0,0.92,2.3,55,0,2,
,201552,201553,0,10.923364,0,0.92,2.3,55,0,2,
,201943,200708,31581,3.138356,3.766027,0.92,2.3,45,0,2,
,200480,200487,85679,6.91504,7.153489,1.12,2,55,0,2,
,200488,200489,0,2.300329,0,1.881291,2,0,0,2,
,200485,200490,0,5.737584,0,1.881291,2,50,0,2,
,200524,200470,31581,5.003978,4.112859,1.881291,2,70,0,2,
,21176,207697,2400000,8.4378,16.875601,0.8,2.3,30,0,2,
,202900,21955,2400000,5.6527,11.305401,0.8,2.3,30,0,2,
,201494,201498,31581,1.980783,2.049085,0.92,2.3,55,0,2,
,202899,202901,31581,0.868174,0.898111,1.881291,2,55,0,2,
,202907,201506,31581,3.327337,3.442073,1.881291,2,55,0,2,
,202909,201507,31581,8.941189,10.729426,1.881291,2,45,0,2,
,201360,201359,0,4.799181,0,0.92,2.3,55,0,2,
,201777,203758,31581,6.993637,7.234797,0.92,2.3,55,0,2,
,201746,21568,2400000,3.347522,6.695045,0.8,2.3,30,0,2,
,200393,203662,31581,1.110799,1.149103,1.572944,2,55,0,2,
,200396,203665,0,6.137825,0,0.92,2.3,55,0,2,
,234913,21567,2400000,7.523834,15.047668,0.8,2.3,30,0,2,
,236999,200147,31581,10.353967,10.710999,0.92,2.3,55,0,2,
,234742,201566,31581,3.894613,3.709155,0.92,2.3,60,0,2,
,203028,200034,31581,3.693753,3.821124,0.8,2.3,55,0,2,
,201783,21568,2400000,10.822003,21.644007,0.8,2.3,30,0,2,
,21194,201044,2400000,2.902,5.804,0.8,2.3,30,0,2,
,201075,316020,134784,0.749804,0.702942,0.12,3.2,55,0,2,
,201075,21232,2400000,0.726422,1.743412,0.8,2.3,25,0,2,
,201075,201080,117844,1.23524,1.453224,1.12,2,50,0,2,
,201084,201080,107750,1.055925,1.473383,1.12,2,40,0,2,
,21231,201085,2400000,1.418453,3.404288,0.8,2.3,25,0,2,
,200186,200190,66915,12.423783,12.85219,0.8,2.3,55,0,2,
,21254,203121,2400000,7.620091,15.240183,0.8,2.3,30,0,2,
,203126,203128,31581,4.754858,4.918818,1.881291,2,55,0,2,
,203171,200868,31581,4.385935,4.537174,1.881291,2,55,0,2,
,203173,200872,46263,4.975087,4.204298,1.12,2,70,0,2,
,203185,203186,0,6.377358,0,1.881291,2,70,0,2,
,203187,203188,0,6.915075,0,1.881291,2,55,0,2,
,200637,200638,31581,0.46718,0.500551,0.92,2.3,55,0,2,
,202337,200794,31581,0.387445,0.327418,0.92,2.3,70,0,2,
,203595,203600,31581,11.508375,12.330401,0.92,2.3,55,0,2,
,203601,203602,31581,6.712837,6.944314,0.8,2.3,55,0,2,
,203603,203602,0,8.198092,0,0.92,2.3,55,0,2,
,203325,203327,31581,6.346388,5.216209,1.881291,2,70,0,2,
,201647,201648,31581,1.358995,1.405856,1.881291,2,55,0,2,
,203346,201050,31581,4.567108,4.724595,1.881291,2,55,0,2,
,201514,21949,2400000,4.265942,8.531884,0.8,2.3,30,0,2,
,201743,201748,0,6.458701,0,1.881291,2,55,0,2,
,234911,21568,2400000,7.296931,14.593863,0.8,2.3,30,0,2,
,201747,201748,37610,1.89674,2.528986,1.12,2,40,0,2,
,234914,21567,2400000,14.583922,29.167845,0.8,2.3,30,0,2,
,201115,21229,2400000,0.87177,2.092247,0.8,2.3,25,0,2,
,203421,203422,33129,1.097168,1.044922,0.92,2.3,60,0,2,
,201281,201282,0,10.4444,0,1.881291,2,55,0,2,
,201751,203824,66915,1.962721,2.030401,1.572944,2,55,0,2,
,201751,21569,2400000,2.343339,4.686678,0.8,2.3,30,0,2,
,234971,21955,2400000,3.152005,6.304011,0.8,2.3,30,0,2,
,200601,21250,2400000,7.70105,15.402101,0.8,2.3,30,0,2,
,200601,48079,4800000,4.198667,5.598222,0.8,2.3,45,0,2,
,200601,200605,31581,5.873275,6.075802,1.572944,2,55,0,2,
,201155,201148,42409,1.175698,1.237577,0.8,2.3,55,0,2,
,201157,237085,98330,1.050663,0.984996,0.12,3.2,45,0,2,
,201713,200990,31581,5.572234,5.76438,0.8,2.3,55,0,2,
,201715,201014,31581,3.02766,3.132062,1.881291,2,55,0,2,
,202079,202080,33457,6.708266,6.939585,0.92,2.3,55,0,2,
,203828,203829,31581,11.415521,18.024506,1.572944,2,35,0,2,
,203835,203836,31581,6.568789,6.7953,1.881291,2,55,0,2,
,21176,203836,2400000,5.460669,10.921338,0.8,2.3,30,0,2,
,201143,201144,75715,1.002636,1.399027,1.12,2,40,0,2,
,203639,202939,31581,0.079031,0.081756,1.572944,2,55,0,2,
,201625,200944,31581,0.333488,0.344987,0.92,2.3,55,0,2,
,203677,202954,0,2.511355,0,0.92,2.3,0,0,2,
,203685,202958,89856,2.764092,2.271856,2,2.35,70,0,2,
,203681,202960,0,3.79413,0,0.92,2.3,55,0,2,
,201164,21205,2400000,2.221828,4.443655,0.8,2.3,30,0,2,
,201164,200254,31581,3.05178,3.157013,1.881291,2,55,0,2,
,201103,201101,107750,2.009284,2.803652,1.12,2,40,0,2,
,201103,21236,2400000,1.360244,3.264585,0.8,2.3,25,0,2,
,201115,201112,82768,0.995809,1.066938,1.12,2,55,0,2,
,201116,201117,145420,1.003528,0.912298,0.12,3.2,65,0,2,
,21182,207074,2400000,7.200754,14.401508,0.8,2.3,30,0,2,
,200532,200470,31581,5.52318,5.713634,1.572944,2,55,0,2,
,21138,236960,2400000,6.553607,13.107215,0.8,2.3,30,0,2,
,200537,200541,0,2.176744,0,1.881291,2,55,0,2,
,200539,236960,31581,2.670422,2.762505,0.8,2.3,55,0,2,
,202952,202951,31581,5.193,6.2316,1.881291,2,45,0,2,
,200371,203692,0,2.03754,0,1.881291,2,55,0,2,
,203925,203928,0,4.651171,0,1.881291,2,55,0,2,
,203928,202286,31581,0.683015,0.706567,0.92,2.3,55,0,2,
,203932,202294,63163,1.411189,1.881585,0.8,2.3,40,0,2,
,203932,203933,31581,4.037689,4.17692,0.92,2.3,55,0,2,
,23823,203933,2400000,11.993401,23.986799,0.8,2.3,30,0,2,
,203955,200501,31581,1.955056,2.022472,0.92,2.3,55,0,2,
,202814,202815,31581,4.294059,4.44213,1.881291,2,55,0,2,
,202857,202859,31581,4.134471,4.277039,1.881291,2,55,0,2,
,204100,202477,31581,2.455562,3.507946,0.92,2.3,45,0,2,
,20601,202479,2400000,1.136577,2.273155,0.8,2.3,30,0,2,
,204096,204251,82768,0.980557,1.050597,1.12,2,55,0,2,
,20579,236805,2400000,0.936041,1.872082,0.8,2.3,30,0,2,
,203978,204195,31581,8.977478,9.618727,0.92,2.3,55,0,2,
,203981,204196,128519,0.954847,0.987773,1.12,2,55,0,2,
,204170,204171,31581,7.218417,7.467328,0.92,2.3,55,0,2,
,204174,20125,2400000,29.19545,58.390903,0.8,2.3,30,0,2,
,204165,20135,2400000,14.57089,29.141781,0.8,2.3,30,0,2,
,20003,204063,2400000,3.132308,6.264616,0.8,2.3,30,0,2,
,204069,204070,63163,0.077908,0.080594,0.92,2.3,55,0,2,
,204074,204073,89856,1.039231,0.854162,2,2.35,60,0,2,
,20200,204141,2400000,3.008606,6.017212,0.8,2.3,30,0,2,
,204093,204094,79920,1.520565,1.900706,0.8,2.3,45,0,2,
,204093,204095,92526,1.756506,1.484371,0.8,2.3,70,0,2,
,204001,204006,31581,2.844315,3.04748,0.92,2.3,55,0,2,
,204299,204195,0,23.456005,0,1.881291,2,0,0,2,
,203978,203979,31581,8.140963,8.72246,0.92,2.3,55,0,2,
,204286,24485,2400000,15.353491,30.706982,0.8,2.3,30,0,2,
,204293,204294,31581,22.459013,18.459463,0.92,2.3,70,0,2,
,48229,204294,4800000,13.835134,18.446846,0.8,2.3,45,0,2,
,204339,204407,33017,5.570498,6.427498,1.881291,2,55,0,2,
,204343,204407,33129,4.913618,5.669559,1.881291,2,55,0,2,
,204344,204345,63163,2.54125,2.932211,1.881291,2,55,0,2,
,204286,204345,89856,6.202717,5.098124,2,2.35,60,0,2,
,237154,24485,2400000,17.032625,34.06525,0.8,2.3,30,0,2,
,204342,363943,0,11.528446,0.852171,0.12,3.2,0,1,2,
,204346,204347,33129,10.965442,11.34356,0.92,2.3,55,0,2,
,204286,204355,89856,10.747647,8.714309,2,2.35,60,0,2,
,204344,237154,33129,6.835358,7.07106,1.881291,2,55,0,2,
,204340,24474,2400000,1.257481,3.036924,0.8,2.3,25,0,2,
,204340,204343,31581,1.302167,1.347069,1.881291,2,55,0,2,
,204339,204342,31581,0.721949,0.746844,1.881291,2,55,0,2,
,335242,204336,0,1.90537,1.676858,0.12,3.2,45,0,2,
,335242,204337,50111,2.255155,0,0.12,3.2,45,0,2,
,4426,335242,2400000,0.153843,0.307687,0.8,2.3,30,0,2,
,204338,204339,31581,0.478709,0.495216,1.881291,2,55,0,2,
,204337,204336,31581,0.503691,0.40122,1.881291,2,55,0,2,
,204337,204338,31581,0.098746,0.222499,0.92,2.3,55,0,2,
,204342,204340,31581,0.996518,1.030881,0.92,2.3,55,0,2,
,24474,204344,2400000,0.461283,1.107079,0.8,2.3,25,0,2,
,204343,204344,33129,0.823192,0.851578,1.881291,2,55,0,2,
,204346,237154,33129,0.012906,0.013351,0.92,2.3,55,0,2,
,204303,204435,31581,0.142922,0.14785,1.881291,2,55,0,2,
,204303,204302,89856,0.41155,0.333689,2,2.35,60,0,2,
,48229,204293,4800000,8.689474,11.585966,0.8,2.3,45,0,2,
,24518,237152,2400000,5.590143,11.180285,0.8,2.3,30,0,2,
,204348,204349,89856,5.898427,4.782508,2,2.35,60,0,2,
,204351,204421,0,6.15061,0,0.92,2.3,55,0,2,
,204351,204349,0,1.163746,0,1.881291,2,50,0,2,
,204350,204429,0,4.369423,0,1.881291,2,55,0,2,
,237153,204430,89856,7.619028,6.17759,2,2.35,60,0,2,
,237153,24518,2400000,14.259642,28.519283,0.8,2.3,30,0,2,
,204431,238263,89856,4.336738,3.516274,2,2.35,60,0,2,
,204303,238263,89856,5.600952,4.541312,2,2.35,60,0,2,
,204351,204350,0,6.764956,0,1.881291,2,55,0,2,
,204350,204348,0,2.563332,0,1.881291,2,55,0,2,
,204348,237153,89856,0.025779,0.020902,2,2.35,60,0,2,
,204425,204349,89856,2.972686,2.410286,2,2.35,60,0,2,
,4425,204352,2400000,2.902965,5.80593,0.8,2.3,30,0,2,
,204347,204355,31581,1.323828,1.369478,1.881291,2,55,0,2,
,204354,204424,33129,4.126249,3.391438,1.881291,2,70,0,2,
,204425,204355,89856,6.358683,5.155689,2,2.35,60,0,2,
,204353,204354,31581,0.744085,0.769743,1.881291,2,55,0,2,
,204352,204353,31581,0.1848,0.191172,0.92,2.3,55,0,2,
,204347,204354,33129,0.816173,0.844317,1.881291,2,55,0,2,
,204423,204426,33129,0.220053,0.180866,1.881291,2,70,0,2,
,204421,204422,31581,0.793837,0.82121,0.92,2.3,55,0,2,
,204423,204424,33129,0.01472,0.012099,0.92,2.3,70,0,2,
,204422,204423,31581,0.029176,0.030182,1.881291,2,55,0,2,
,204426,204425,66259,0.739796,0.608051,0.92,2.3,70,0,2,
,204427,204428,0,6.865589,0,0.92,2.3,55,0,2,
,204429,204428,0,0.509846,0,0.92,2.3,55,0,2,
,204430,204431,89856,0.173733,0.140865,2,2.35,60,0,2,
,237239,48229,4800000,15.749068,20.998758,0.8,2.3,45,0,2,
,204308,204309,89856,17.868658,14.488101,2,2.35,60,0,2,
,204306,204310,31581,12.474013,10.252614,0.92,2.3,70,0,2,
,204310,24507,2400000,13.878775,27.757549,0.8,2.3,30,0,2,
,204309,24507,2400000,12.627372,25.254744,0.8,2.3,30,0,2,
,204432,237152,0,4.687079,0,0.92,2.3,70,0,2,
,204307,204308,89856,1.146259,0.929399,2,2.35,60,0,2,
,204306,204308,31581,1.155398,1.824313,1.881291,2,35,0,2,
,204433,204300,31581,0.064093,0.076911,0.92,2.3,45,0,2,
,204434,204304,63163,0.025686,0.030823,0.92,2.3,45,0,2,
,204302,204307,89856,1.173967,0.951865,2,2.35,60,0,2,
,204305,204306,63163,0.987111,1.558597,0.92,2.3,35,0,2,
,204433,204434,63163,0.041877,0.050253,0.92,2.3,45,0,2,
,204302,204305,31581,0.197958,0.23755,1.881291,2,45,0,2,
,204435,204301,31581,0.075444,0.078046,0.92,2.3,55,0,2,
,204301,204300,31581,0.06765,0.069983,0.92,2.3,55,0,2,
,204304,204302,63163,0.017142,0.020571,0.92,2.3,45,0,2,
,204307,204306,31581,0.108859,0.089473,1.881291,2,70,0,2,
,237152,204307,31581,0.059244,0.048694,1.881291,2,70,0,2,
,204293,204310,31581,0.10682,0.087797,0.92,2.3,70,0,2,
,204311,204312,89856,7.083899,5.743702,2,2.35,60,0,2,
,204314,20200,2400000,4.621903,9.243806,0.8,2.3,30,0,2,
,204311,204309,89856,0.21429,0.173749,2,2.35,60,0,2,
,204312,204313,89856,1.92733,1.5627,2,2.35,60,0,2,
,204313,204314,89856,1.968274,1.595898,2,2.35,60,0,2,
,20003,204314,2400000,2.298611,4.597221,0.8,2.3,30,0,2,
,204314,204315,89856,0.695618,0.564014,2,2.35,60,0,2,
,204315,204074,89856,0.226162,0.183374,2,2.35,60,0,2,
,204074,204069,63163,0.214832,0.222239,0.92,2.3,55,0,2,
,204288,204287,39621,27.778189,33.333824,0.8,2.3,45,0,2,
,21109,204444,2400000,4.331697,10.396074,0.8,2.3,25,0,2,
,204357,204360,107750,1.147293,1.860476,1.12,2,40,0,2,
,204358,204360,82768,0.720236,0.864283,1.12,2,55,0,2,
,204362,20556,2400000,1.098827,3.296481,0.8,2.3,20,0,2,
,204364,20445,2400000,1.102936,3.308809,0.8,2.3,20,0,2,
,237174,204366,45097,2.450117,2.672855,1.12,2,55,0,2,
,204366,204383,44854,1.105652,1.275752,1.12,2,55,0,2,
,237178,204440,86650,3.013757,3.281845,1.12,2,55,0,2,
,237177,204444,96330,2.314402,2.136371,0.12,3.2,60,0,2,
,204629,24087,2400000,1.191595,3.574786,0.8,2.3,20,0,2,
,204473,237161,148441,0.426005,0.399379,0.12,3.2,55,0,2,
,204475,204474,65946,0.323496,0.646992,1.12,2,30,0,2,
,204595,204476,82768,0.365428,0.438513,1.12,2,55,0,2,
,204598,24076,2400000,0.544368,1.633104,0.8,2.3,20,0,2,
,204598,204597,245447,0.629443,0.555391,0.12,3.2,60,0,2,
,204599,204600,82768,0.569228,0.683074,1.12,2,55,0,2,
,20001,204382,2400000,2.800429,6.721028,0.8,2.3,25,0,2,
,204497,204386,85679,1.781762,2.138115,1.12,2,55,0,2,
,204611,204387,44854,1.289153,1.487484,1.12,2,55,0,2,
,204357,204531,82768,1.276071,1.531286,1.12,2,55,0,2,
,204362,204533,98330,1.922028,1.77418,0.12,3.2,55,0,2,
,204364,204484,82768,2.252257,2.702709,1.12,2,55,0,2,
,204593,204592,41384,0.439301,0.527161,0.8,2.3,55,0,2,
,204558,204557,145420,1.86878,3.764938,0.12,3.2,60,1,2,
,204558,204531,135291,2.295254,2.754305,1.12,2,55,0,2,
,204673,204583,47067,6.031362,1.246021,0.12,3.2,0,1,2,
,363945,204488,0,0.541798,0,0.12,3.2,0,1,2,
,345050,204444,96330,2.75456,0.390893,0.12,3.2,0,1,2,
,204489,204488,45097,0.652482,0.197502,1.12,2,55,0,2,
,4503,363944,0,1.550901,0,0.12,3.2,0,1,2,
,20887,204359,2400000,0.939459,2.818376,0.8,2.3,20,0,2,
,21554,204535,2400000,1.477087,4.43126,0.8,2.3,20,0,2,
,204499,20113,2400000,0.594432,1.783295,0.8,2.3,20,0,2,
,204503,237172,82768,0.865708,1.03885,0.8,2.3,55,0,2,
,21665,204501,2400000,1.788394,5.365182,0.8,2.3,20,0,2,
,204503,204504,72463,2.385214,7.155642,1.881291,2,30,0,2,
,204505,237173,245447,1.188466,1.097046,0.12,3.2,60,0,2,
,204630,204633,65946,2.075563,3.558108,1.12,2,35,0,2,
,204634,204359,98330,1.78568,1.674075,0.12,3.2,70,0,2,
,204635,204359,98918,1.243845,2.487689,1.12,2,30,0,2,
,204322,363995,42409,1.509622,1.741872,0.8,2.3,55,0,2,
,204499,204510,43325,1.031238,1.237485,1.12,2,55,0,2,
,20223,204515,2400000,1.258182,3.774545,0.8,2.3,20,0,2,
,204505,204516,96330,1.709539,1.578036,0.12,3.2,60,0,2,
,204516,20002,2400000,2.086306,5.007135,0.8,2.3,25,0,2,
,204536,363990,98330,1.51392,1.42454,0.12,3.2,50,0,2,
,21110,204633,2400000,1.483313,3.559952,0.8,2.3,25,0,2,
,204505,204648,124153,1.171683,1.40602,1.12,2,55,0,2,
,204648,204535,82768,1.700567,2.04068,1.12,2,55,0,2,
,335291,204537,67291,1.043811,1.502769,0.8,2.3,0,0,2,
,335292,204535,65946,0.750759,1.287016,0.8,2.3,35,0,2,
,335293,20002,2400000,2.556772,6.136252,0.8,2.3,25,0,2,
,335292,20002,2400000,1.801312,4.323149,0.8,2.3,25,0,2,
,204505,204643,0,2.081999,0.811284,0.12,3.2,0,1,2,
,204505,204536,96330,4.827114,0.390893,0.12,3.2,0,1,2,
,204499,204503,43998,1.111609,1.33393,1.12,2,55,0,2,
,204324,204499,43998,0.902667,0.984727,0.8,2.3,55,0,2,
,204322,204324,43325,0.016023,0.017479,1.12,2,55,0,2,
,21665,204503,2400000,0.959544,2.878632,0.8,2.3,20,0,2,
,204503,204505,124153,0.562877,0.675452,1.12,2,55,0,2,
,204505,20223,2400000,0.667968,2.003903,0.8,2.3,20,0,2,
,204506,204507,94744,0.440072,0.780546,0.92,2.3,35,0,2,
