source 	 destination 	 flow 	 cost(min)
273	272	0	0.666667
191	527	0	13
444	460	0	0.666667
87	620	57.453	0
938	22	0	0
904	8	189.684	0
754	972	97.494	3.667171909
556	161	0	13.333333
695	691	328.1840739	0.666792819
48	302	0	0
589	590	207.756	7.000212168
841	611	0	10
310	269	1222.698	19.21256309
913	42	0	0
880	882	0	3.666667
110	120	0	1.333333
948	541	0	10.666667
684	13	435.9780553	0
534	76	383.166	0
266	145	0	7
595	596	0	3.333333
278	284	414.588	0.696686664
40	800	0	0
415	416	369.438	1.000303064
90	520	0	0
434	104	0	1
782	38	0	0
861	47	527.5997636	0
143	140	0	2.666667
632	633	0	12
96	894	0	0
553	583	492.9029262	6.344600639
315	366	426.1830585	24.01288142
149	150	38.994	1.333333093
543	603	0	7.333333
359	360	11.4	25.33333301
883	376	176.2474595	10.07445373
949	948	0	5.666667
812	815	290.979	10.00116631
151	953	0	11
463	432	302.181	14.17792076
36	497	0	0
121	56	451.5115427	0
208	188	0	9.333333
232	7	0	0
733	24	0	0
328	329	0	1.666667
760	569	387.237	7.823341467
62	264	669.8345588	0
266	62	0	0
531	51	31.833	0
83	274	241.02	0
212	206	0	0.666667
583	584	0	4
441	438	0	19
109	169	5.715	22
936	934	0	7.333333
210	218	553.3915427	1.142942059
51	531	129.09	0
282	838	129.042	0.66694875
745	740	0	30.666667
629	279	243.519	1.333474327
288	676	919.056	8.853036587
23	278	515.841	0
5	753	388.623	0
370	17	870.4423005	0
911	465	61.056	11.33333775
5	752	0	0
8	899	132.693	0
174	132	1348.362	1.756294799
137	136	0	3
260	259	430.002	2.454920404
779	303	0	24
646	231	466.4571326	13.01001286
788	785	633.8966669	15.72101254
739	37	400.9139325	0
800	796	0	1.666667
338	74	473.766	0
555	613	0	16.666667
620	621	18.459	1.000000177
76	601	34.335	0
901	680	348.2048121	18.74411411
897	742	968.916	19.5275368
1	817	0	0
258	229	322.1822462	12.00210356
472	469	99.99905854	2.333688623
608	75	635.1218738	0
818	822	0	1
61	270	1145.229559	0
710	35	0	0
613	621	0	4
34	632	0	0
807	762	336.747	7.816929809
55	426	202.827	0
432	442	483.861	1.444724247
648	15	506.454	0
42	915	0	0
180	181	0	0.666667
334	335	0	11.333333
830	915	0	8
515	513	0	8.666667
429	130	0	0.666667
329	322	33.621	5.000000193
58	124	0	0
527	525	0	4.666667
304	306	0	1.333333
188	173	0	10
718	235	129.651	7.333366711
387	286	369.558	13.34082891
349	338	102.072	12.66670844
907	816	0	0.666667
929	933	0	4
631	636	25.76312618	6.333333084
595	594	0	0.333333
657	656	7.245	4.000000085
837	832	129.042	2.000845248
188	91	730.4510502	0
719	721	480.2782144	23.06338925
33	343	225.099	0
836	838	115.377	4.334503386
42	913	0	0
651	652	380.991	6.335503996
92	711	901.6718738	0
199	191	0	9.666667
870	975	0	7.333333
788	784	0	4.333333
90	518	240.06	0
143	19	0	0
839	92	1059.945	0
27	132	1979.084074	0
61	269	0	0
497	36	507.333	0
1	818	489.906	0
759	3	275.0161577	0
377	961	0	3
444	12	0	0
676	677	919.056	10.55554288
37	739	786.06	0
99	915	0	4.666667
307	84	77.592	0
421	55	0	0
756	757	0	4
836	837	129.042	1.333896499
4	719	336.2631879	0
738	895	0	3.333333
34	633	660.9741262	0
299	39	39.438	0
856	852	453.633	12.34907479
796	40	886.548	0
90	108	5.715	0
28	167	0	0
6	707	453.279	0
8	900	0	0
551	65	533.133	0
373	370	652.575	6.80751258
117	409	101.2915427	11.33336896
156	598	0	7.333333
509	508	478.632	2.519976818
627	496	31.389	1.666669466
161	159	0	1
437	12	13.71	0
230	222	914.223	3.371216941
491	481	254.817	4.36117918
410	407	0	1.666667
259	839	1059.945	7.796840712
84	307	0	0
620	87	0	0
239	261	522.6809447	9.678404924
371	372	429.702	2.668146129
591	531	297.915	14.3351699
229	646	0	4.666667
739	39	786.06	0
603	259	916.3317538	16.52068297
125	195	0	17.333333
311	94	620.916	0
402	403	660.7480467	8.17328222
76	603	1026.242754	0
546	548	0	6
611	716	0	6.333333
956	952	87.432	9.667527971
576	574	688.455	1.006771069
9	651	655.425	0
526	199	57.555	4.333699901
532	534	395.172	1.667328243
443	460	0	1.666667
71	344	297.351	0
508	505	173.319	3.671709967
975	958	0	1.666667
850	881	0	4.666667
377	379	0	15
737	736	767.7590526	13.49695523
45	930	0	0
799	798	0	5.333333
912	42	0	0
96	777	270.357	0
748	972	228.4978423	2.343027716
173	172	0	1
464	14	289.947	0
588	589	207.756	4.000121239
15	658	0	0
711	841	0	4
513	477	0	19.666667
75	608	0	0
669	667	354.135	1.667093474
164	28	0	0
208	436	374.5626465	3.433334502
439	441	0	13.666667
416	417	459.318	2.668598037
498	489	0	19.666667
223	679	654.6981879	9.385017028
361	357	65.757	12.33368446
757	758	0	2.666667
10	564	407.055	0
860	46	0	0
862	854	0	16.666667
399	501	0	12.666667
701	702	680.9871879	5.753723605
100	99	0	0.333333
504	446	0	7
183	115	0	3.333333
540	541	433.032	1.000572068
881	882	0	0.333333
506	435	0	7
514	513	20.106	2.333333581
244	962	302.958	2.667032482
940	633	138.531	11.33969473
953	354	0	17.333333
498	490	0	5
679	6	654.6981879	0
668	672	297.915	1.666880593
164	150	364.8744412	16.67147307
356	57	854.487	0
69	602	274.308	0
4	761	273.621	0
861	860	0	18.333333
475	413	89.88	10.33334397
318	750	42.489	6.333333622
299	294	0	11.333333
367	363	0	9.333333
169	31	5.715	0
8	901	348.2048121	0
51	529	0	0
157	189	553.3915427	1.669210002
292	376	468.8606669	14.64406398
527	72	0	0
906	814	0	1.666667
316	884	0	15.333333
413	473	0	2.666667
725	723	116.5299261	14.67078903
98	519	0	0
58	285	0	0
458	459	0	5.333333
722	740	0	10
526	528	0	3
55	425	0	0
198	194	0	3.333333
48	789	449.4724595	0
366	368	234.141	2.009161569
434	437	13.71	8.333333449
40	796	1574.939865	0
508	957	534.003	10.86473511
224	225	0	6
840	611	0	12.333333
292	48	0	0
290	19	0	0
831	915	74.9056647	5.668043516
226	336	0	12
89	163	15.447	0
147	163	0	1
617	67	0	0
730	734	265.7378121	5.000751516
365	373	631.707	5.385088481
354	971	530.793	0.334130506
402	401	0	1
818	823	415.0003353	5.734726878
150	268	403.8684412	6.428179847
71	346	0	0
291	135	1302.464074	0.697880311
370	52	584.1994573	0
752	5	0	0
830	799	688.779	16.1085412
70	147	597.339	0
399	500	80.667	5.333336674
346	71	258.486	0
102	80	0	0
502	506	515.7968738	15.97685531
622	615	38.994	18.6666683
51	530	0	0
60	272	1452.926074	0
372	368	429.702	9.338509952
349	504	138.096	4.66925379
497	494	0	1.333333
386	454	0	11.666667
565	727	355.2923456	8.535724423
455	26	1081.443	0
449	56	111.531	0
401	939	554.1439533	16.39333455
620	622	38.994	1.333333093
552	553	1248.060246	5.890352466
221	242	45.12045733	10.3333337
618	552	497.6850738	4.738533983
795	43	449.5897856	0
917	914	399.7681354	5.887259302
68	609	843.039	0
303	305	0	6.666667
871	802	148.353	15.34465314
527	191	0	4.333333
805	803	352.77	3.000755885
55	421	0	0
707	6	1.572	0
452	371	429.702	6.003328041
706	708	0	4.333333
1	821	0	0
443	12	483.861	0
440	438	0	17
650	653	256.8777538	4.362090955
725	719	0	16.333333
69	604	813.9295702	0
543	76	220.7247538	0
856	886	176.2474595	7.3879324
276	57	812.598	0
304	300	0	14.666667
576	577	210.183	0.66865003
56	129	0	0
565	807	336.747	5.437863639
93	710	0	0
231	223	788.6393788	1.677155915
942	951	0	5.666667
545	64	449.151	0
150	149	135.582	1.666683975
624	517	276.903	6.053764035
83	238	369.4054573	0
389	391	626.499	7.01754476
98	518	514.614	0
10	566	0	0
793	707	56.133	18.00000539
693	49	258.432	0
818	828	74.9056647	4.000971658
464	463	0	2.333333
546	592	0	3.333333
130	124	477.636	9.674852267
465	908	0	1
441	432	0	11.666667
585	75	0	0
436	506	374.5626465	12.0166723
720	301	357.0273331	9.002379119
384	383	0	2
242	237	45.12045733	27.00000182
846	45	406.5	0
853	866	0	2.333333
90	521	0	0
287	114	241.02	23.11829602
91	188	479.9363535	0
508	507	0	2.666667
8	904	0	0
899	901	0	0.333333
594	593	0	2
218	54	553.3915427	0
219	168	553.3915427	12.35215121
575	582	0	19.333333
637	34	525.579	0
241	243	825.2372462	1.007545415
191	190	0	1.666667
526	524	0	3.333333
860	863	0	13.333333
668	588	186.4568121	3.333398548
971	496	530.793	14.0334953
520	521	0	2.333333
564	568	0	5.333333
1	822	0	0
211	54	0	0
881	844	0	17.666667
15	660	468.288	0
206	204	0	8.333333
82	571	518.6097538	0
187	91	0	0
968	432	247.407	15.75613228
679	707	0	11
683	682	1302.464074	2.897972964
46	844	326.4565405	0
36	493	0	0
19	143	27.393	0
546	549	0	8.333333
786	258	482.1925405	10.00879528
253	254	0	4
594	595	0	0.333333
953	356	648.9485176	15.66722401
163	70	325.242	0
854	860	0	25
117	118	9.69	1.333333
765	94	60.201	0
799	917	577.011	10.13092782
429	545	449.151	4.33864853
725	761	0	9.666667
814	808	8.202	10.666667
274	275	0	0.666667
454	397	0	17
92	839	471.864	0
336	337	0	1
396	392	27.393	2.000000034
411	407	0	24.333333
33	348	0	0
548	88	0	0
30	160	0	0
905	906	0	17
885	327	0	3.666667
18	395	0	0
600	599	0	0.333333
736	41	767.7590526	0
61	264	139.569	0
238	221	45.12045733	13.3333339
961	103	0	4.666667
447	890	0	10.666667
473	470	0	9.333333
373	365	291.147	9.435548322
4	724	198.96	0
867	864	0	11.333333
353	360	0	0.333333
337	332	66.213	33.33335231
875	878	0	19.333333
530	51	0	0
16	366	358.323	0
410	453	0	2.666667
256	401	504.8037538	6.227518593
489	498	0	13
185	186	56.739	1.000000169
898	906	561.3428121	1.669359337
753	2	394.755	0
335	405	8.832	9.66666709
484	77	0	0
148	159	930.318	10.12186909
401	404	0	1.666667
762	809	0	12.666667
468	315	99.99905854	0.666768607
638	631	80.667	11.66668189
181	183	0	1
644	925	504.27	3.673813264
580	690	418.3500553	9.341949901
702	825	680.9871879	10.62225978
852	885	0	3.333333
358	276	0	6
794	43	0	0
364	365	631.707	3.313901273
768	25	628.6401879	0
319	884	0	15.333333
14	464	435.9780553	0
773	775	0	9.333333
139	50	1170.717	0
50	139	1125.093	0
564	780	482.1925405	8.007036227
963	590	529.5242462	15.35294617
378	328	0	19
144	145	0	7.333333
959	80	0	0
116	117	110.9815427	0.666670048
303	892	1030.502865	10.33990053
9	902	497.7728121	0
537	440	0	9
67	617	0	0
922	21	388.656	0
216	171	0	19.666667
264	270	0	8.666667
571	577	518.6097538	6.013081845
656	653	0	5.333333
672	666	297.915	9.667905837
273	323	0	2.333333
338	347	242.346	6.000623806
259	257	0	11.333333
619	614	0	8.333333
686	13	767.8947538	0
894	96	0	0
132	27	1348.362	0
656	244	7.245	5.000000106
24	735	0	0
460	461	0	2
785	789	0	2.333333
507	506	229.449	4.351639137
370	373	657.1889415	12.41498959
269	59	1140.837	0
339	342	0	3.333333
579	82	624.3927538	0
423	424	89.88	0.666733312
650	646	466.4571326	3.931241744
957	338	0	2.666667
935	932	0	10
603	601	0	0.666667
525	527	0	6.666667
43	794	0	0
110	111	549.561	0.759350525
925	87	504.27	0
208	215	318.4908236	1.015682585
644	64	0	0
44	706	479.7772502	0
896	740	0	26
689	694	289.947	1.757557462
265	60	0	0
813	816	407.3739261	11.00913105
959	777	0	12.666667
104	103	0	5
331	325	321.342	1.667202641
367	20	0	0
593	166	0	4
495	492	0	33.666667
4	725	116.5299261	0
360	919	64.821	1.666667887
467	463	0	5.666667
486	499	0	3.666667
289	275	268.02	12.09438001
243	963	529.5242462	3.671357107
12	433	235.848	0
601	612	34.335	16.00003389
796	893	90.459	13.66669458
64	551	533.133	0
807	565	355.2923456	5.462863508
649	650	422.5887538	3.322865942
897	40	392.16	0
490	479	0	5
960	854	0	3
25	772	519.981	0
845	844	0	2.666667
169	170	255.414	2.666851636
235	230	914.223	1.011365183
455	819	0	2
501	497	426.666	5.252552756
401	402	0	0.333333
334	20	324.285	0
863	46	0	0
662	661	468.288	7.339070483
378	81	97.494	0
702	701	0	5.666667
685	223	216.861	11.66744473
14	463	304.173	0
343	33	0	0
953	30	749.382	0
584	174	0	19.666667
884	316	0	11.333333
554	551	0	3.666667
14	462	0	0
943	950	147.549	17.34585452
902	9	407.3739261	0
59	457	89.88	0
519	518	0	6
635	400	80.667	9.0000062
744	37	0	0
325	318	287.721	0.666804705
612	941	0	2
904	899	0	4
878	23	0	0
552	67	497.6850738	0
784	262	0	19
27	268	1359.444	0
53	247	910.431	0
175	176	0	0.666667
522	956	87.432	0.333362689
735	24	0	0
832	833	115.377	1.667117148
596	600	0	2.666667
426	407	202.827	5.666956059
755	305	42.489	6.666667655
10	568	0	0
89	147	38.886	0
526	72	418.671	0
572	573	64.683	2.666738147
114	209	825.699	5.037811588
119	180	0	6
507	508	0	2.666667
655	656	0	4
743	741	0	2.666667
637	634	0	8.333333
24	733	486.111	0
884	319	0	8.333333
724	44	668.2463642	0
320	384	245.232	6.852709566
542	537	0	0.666667
290	143	0	2
224	83	349.3684573	0
483	479	0	0.666667
269	61	81.861	0
772	456	519.981	7.349491697
155	162	0	1
355	85	514.065	0
667	671	354.135	7.668628778
715	714	696.6998738	11.32581555
43	796	893.214	0
376	382	249.7024595	4.463322521
14	467	0	0
9	659	0	0
25	768	415.848	0
903	904	189.684	4.007892467
531	532	395.172	1.667328243
44	708	1286.408074	0
618	623	0	6.333333
476	477	20.106	0.333333083
774	772	0	15
870	454	0	1
38	782	0	0
144	66	850.8423458	0
51	951	354.135	0
236	226	0	0.666667
513	516	20.106	3.000000747
123	116	99.66854267	1.666669676
344	71	19.71	0
294	39	679.632	0
495	489	0	3
826	824	0	6
147	89	597.339	0
652	718	129.651	1.333339129
197	214	291.3956542	5.667331703
769	16	0	0
844	850	0	4
538	560	0	14
46	861	527.5997636	0
757	3	0	0
856	861	0	15.666667
228	225	0	0.666667
637	633	0	0.333333
792	11	449.4724595	0
814	815	241.0209261	2.000109804
306	304	0	1
798	797	0	23
277	58	393.669	0
12	437	0	0
560	637	525.579	15.03449835
172	606	0	4.666667
630	631	25.76312618	14.3333331
470	471	0	2
681	903	189.684	3.00591935
869	868	27.393	3.333333057
272	86	546.2210929	0
423	422	369.438	3.334343213
954	519	475.929	19.40757369
558	75	15.69601622	0
783	720	357.0273331	3.00079304
545	644	0	2.333333
733	729	486.111	4.340626213
91	215	374.5626465	0
257	186	483.81	17.68241487
799	830	745.881	10.76617591
819	826	0	7.333333
506	965	426.666	5.441408131
24	734	139.908	0
10	570	0	0
95	190	0	0
934	933	0	14
275	274	268.02	1.679775337
97	835	115.377	0
648	658	0	3.666667
446	173	0	7.333333
695	699	784.572	2.347716872
59	700	0	0
139	177	820.704	1.343174305
724	4	180.7749261	0
259	256	758.2527538	1.503832232
63	268	1853.279074	0
696	693	0	7.333333
660	15	0	0
2	781	0	0
529	51	433.032	0
442	443	483.861	7.223623401
223	7	665.1632462	0
46	860	0	0
33	476	20.106	0
70	175	0	0
712	35	0	0
43	795	969.8916432	0
358	356	0	0.333333
716	93	0	0
286	290	0	3.333333
916	917	399.7681354	4.155712204
536	543	321.9567538	1.000174807
559	560	525.579	9.354798639
258	261	286.4673884	0.666740043
294	38	1028.904	0
325	316	92.727	8.666686312
232	241	0	3.333333
144	65	602.835	0
838	836	129.042	1.000422624
864	856	0	18
335	871	148.353	10.0073827
541	544	433.032	1.000572068
638	636	0	0.333333
973	826	680.9871879	11.0648535
209	213	0	3
264	62	1735.064543	0
826	702	89.163	20.33529174
737	706	577.2982144	0.61900927
542	538	0	2.333333
775	768	0	12
19	804	0	0
340	341	0	5.333333
262	891	470.9013331	3.335999651
931	867	0	0.666667
31	169	456.903	0
179	189	0	8
92	257	483.81	0
886	884	176.2474595	8.395377773
165	155	0	0.333333
424	423	0	2.666667
862	865	0	0.333333
578	573	257.2737538	2.013354938
844	843	326.4565405	8.334872884
30	953	893.8835176	0
924	87	0	0
181	178	0	5.666667
314	415	0	7
151	29	1202.76	0
95	199	206.679	0
721	795	0	14.666667
751	781	0	2.666667
606	611	0	12
741	304	0	4.333333
924	620	0	5.666667
863	859	0	11
52	369	0	0
88	402	660.7480467	0
601	76	1044.363	0
385	324	208.8898423	2.000114777
843	849	21.861	4.666667032
301	293	357.0273331	7.001850426
934	932	400.365	4.156644219
494	501	515.7968738	16.98750762
34	634	80.667	0
35	710	4.428	0
611	91	941.658	0
21	922	0	0
808	809	8.202	14
379	440	0	1.666667
935	885	0	2.333333
346	349	0	2
394	396	27.393	7.000000119
750	746	42.489	4.333333426
83	225	0	0
623	557	345.3539262	10.00428758
129	122	0	6
631	635	80.667	1.666668148
727	761	405.7823456	4.668725483
188	508	479.9363535	22.33789227
559	75	86.718	0
518	520	0	4
843	848	0	2.666667
764	94	0	0
294	743	0	2
560	561	0	1.333333
801	40	1089.740865	0
50	584	1276.605246	0
751	2	238.6771577	0
264	61	1217.952559	0
305	753	42.489	6.666700117
85	625	451.5115427	0
602	69	501.291	0
471	17	0	0
441	440	0	11.333333
447	448	13.71	4.333333233
577	578	335.9277538	0.679606648
25	775	0	0
73	445	730.4510502	0
29	549	0	0
477	514	20.106	5.000001245
210	211	0	2.666667
821	817	0	4.333333
430	429	449.151	1.334968547
7	223	837.042	0
151	30	701.5969692	0
360	353	0	0.333333
944	949	0	1.666667
305	303	0	11.333333
554	64	18.459	0
52	370	1028.601	0
799	705	375.5671354	12.70732365
52	247	367.5244573	0
6	679	0	0
122	121	0	0.666667
199	526	206.679	7.436581039
35	711	697.836	0
79	738	342.459	0
899	810	132.693	15.67406984
921	430	64.821	2.000001064
264	59	115.245	0
156	166	0	0.666667
615	149	38.994	1.00000007
726	728	1281.894	2.162777168
79	779	765.912	0
418	414	0	3.333333
506	507	693.1425203	5.857884821
602	601	0	29.333333
281	282	129.042	0.333473875
481	491	401.292	5.544133031
501	502	515.7968738	3.607676606
661	580	793.7070553	1.349282043
75	558	571.59389	0
435	73	0	0
83	224	0	0
365	364	291.147	7.750629593
370	369	0	8.666667
491	478	158.124	2.679530376
425	418	0	6.333333
773	772	0	0.666667
892	893	0	6
269	270	0	0.666667
863	860	0	40.333333
914	799	399.7681354	9.696661463
531	529	0	0.666667
611	92	1125.039874	0
237	419	111.3334573	4.000018523
171	31	526.425	0
666	591	297.915	1.000128156
571	82	0	0
544	529	433.032	0.667048379
761	725	0	7.666667
713	717	0	0.333333
744	739	0	0.666667
965	502	426.666	7.534257992
784	11	0	0
227	237	66.213	0.666667386
792	788	0	2.666667
797	799	66.048	20.33334466
743	294	0	2.666667
7	222	0	0
52	248	0	0
512	513	0	2.333333
843	563	345.7285405	4.334340235
597	712	0	0.333333
839	259	471.864	22.5867797
35	712	0	0
602	68	274.308	0
175	89	182.955	0
548	546	0	16.666667
26	768	1775.522188	0
322	81	33.621	0
148	89	0	0
489	486	0	11
803	804	352.77	5.334676795
745	776	0	20.333333
761	763	300.5131577	3.897405697
285	58	341.013	0
496	283	562.182	0.334336555
740	722	0	5.666667
204	205	0	1
447	696	235.848	7.033010857
893	801	1089.740865	9.035050433
220	233	0	6
927	928	843.039	2.949793466
209	54	648.309	0
414	236	0	33
79	742	399.7681354	0
391	452	626.499	1.336674858
158	28	414.5634412	0
951	51	0	0
109	523	38.919	8.33336214
388	387	369.558	2.334644784
711	35	302.853	0
530	942	0	0.333333
64	545	0	0
50	587	0	0
282	280	115.377	10.33338819
731	737	1281.894	4.686016837
311	312	0	3
240	239	522.6809447	1.66869078
972	747	97.494	3.000413107
770	16	0	0
29	546	1210.626	0
182	175	0	0.666667
360	21	11.4	0
25	773	0	0
382	302	249.7024595	11.32997342
611	93	96.411	0
358	155	0	4.666667
547	146	0	4.666667
75	559	141.201	0
89	148	930.318	0
197	168	314.7123458	1.000159596
417	423	459.318	10.00724139
477	476	0	0.333333
734	24	107.838	0
80	777	83.358	0
212	202	816.333	15.44411619
945	944	0	4.666667
700	61	0	0
868	870	0	6
132	142	0	18.333333
579	571	0	21.333333
584	50	993.864	0
150	200	0	10.333333
821	1	527.193	0
317	318	92.727	9.666688541
571	575	0	0.666667
874	627	190.443	3.006014663
369	52	0	0
567	847	0	1
34	637	0	0
742	916	399.7681354	9.696661463
6	762	0	0
127	131	384.33	10.67045329
149	615	0	0.333333
546	29	1116.924	0
121	123	0	17.333333
844	845	0	4
103	434	0	6
200	27	0	0
768	314	737.3404573	20.85078563
645	670	255.114	1.666879785
270	61	0	0
471	470	738.591	6.592414076
564	783	138.225	1.337088606
756	751	238.6771577	12.30048284
934	930	0	2
922	919	0	4.333333
412	289	84.534	6.669293815
941	927	0	12.666667
557	618	0	5.333333
308	84	0	0
582	675	138.5798121	2.666696643
165	356	205.5384824	4.666918035
353	21	102.876	0
839	711	0	14
570	10	0	0
50	586	0	0
88	401	554.1439533	0
222	223	0	9
340	345	0	0.333333
518	522	379.725	21.32157028
804	19	352.77	0
758	3	0	0
939	941	0	3.666667
590	177	737.2802462	10.71794452
777	96	270.783	0
38	779	1130.166	0
732	812	290.979	1.667027123
714	713	0	8.666667
275	238	0	4.666667
832	835	129.042	4.001690497
273	86	0	0
700	59	0	0
775	25	0	0
776	102	0	5.333333
193	271	369.438	2.001122926
328	374	0	9.666667
287	289	0	1
476	33	0	0
774	768	0	1.333333
544	532	0	0.666667
809	807	355.2923456	10.24286972
263	267	0	3.333333
366	806	564.039	17.36187514
258	11	732.4189185	0
558	572	627.471	5.358251871
245	251	0	6.666667
684	686	0	5
785	48	633.8966669	0
278	834	101.253	11.3333689
354	57	0	0
941	68	0	0
828	818	0	4
225	83	0	0
856	857	0	1.333333
17	370	430.6546993	0
353	964	12.96	10.33333301
37	744	0	0
364	367	0	5
719	725	0	9
443	432	272.514	15.79835974
80	776	2.553	0
21	920	77.592	0
329	328	0	2
702	703	89.163	1.000096332
778	745	0	4.666667
5	892	0	0
768	26	95.499	0
677	687	1001.523	0.343441275
815	813	407.3739261	2.334378484
578	576	641.442	0.335033838
492	511	0	2.333333
341	216	410.475	7.005989629
398	451	0	18.333333
815	898	124.626	1.000003925
800	40	0	0
361	85	0	0
636	632	25.76312618	8.666667115
543	539	580.581	1.001848499
152	151	0	1.666667
54	209	146.94	0
74	957	0	0
740	745	0	11.333333
447	463	0	27.333333
87	925	0	0
294	297	0	4
524	72	0	0
366	16	374.427	0
78	771	0	0
440	379	0	2.333333
195	156	0	14.666667
163	89	207.816	0
719	44	310.7421879	0
841	711	0	2.333333
937	337	57.381	5.666668852
691	692	328.1840739	2.667170277
879	375	21.861	5.666667039
633	34	138.531	0
894	742	0	14.333333
677	730	265.7378121	1.666917506
400	399	80.667	4.000002756
63	323	744.2619071	0
57	356	892.944	0
445	188	730.4510502	8.125460893
225	274	0	1.666667
226	227	0	1.666667
930	744	0	10.333333
707	685	216.861	15.66771138
471	370	0	8.333333
790	793	56.133	7.666669294
133	134	0	3.333333
153	146	208.902	6.333529232
302	48	249.7024595	0
696	49	235.848	0
64	644	504.27	0
74	342	110.859	0
138	394	27.393	6.000000102
688	464	289.947	1.406045337
168	144	0	5.666667
612	602	0	9
166	154	0	1.333333
446	510	0	7
742	79	968.916	0
705	41	375.5671354	0
403	260	660.7480467	0.860345972
797	795	449.5897856	0.667110142
313	314	43.659	1.333333079
395	18	359.622	0
599	594	0	8
509	74	0	0
38	749	0	0
972	754	228.4978423	7.029084153
94	764	0	0
59	264	1889.420543	0
149	167	135.582	5.333362321
504	349	173.319	7.677211385
5	893	1200.575865	0
152	29	0	0
714	605	635.1218738	2.912008328
21	353	353.973	0
318	325	92.727	1.333335971
350	351	0	0.666667
215	207	0	15
521	90	0	0
612	69	244.647	0
142	288	0	0.666667
491	339	243.168	13.40438796
561	560	0	1
674	665	162.0938121	6.666805717
419	414	0	1
749	38	0	0
132	139	1979.084074	1.666117798
125	58	0	0
217	31	0	0
927	599	0	18.666667
300	303	0	15.333333
252	247	0	5
62	204	996.0595427	0
729	726	381.282	1.000637001
923	130	482.583	13.02125135
263	60	1363.520074	0
94	311	0	0
288	291	0	1.666667
865	862	0	0.333333
920	21	0	0
276	358	0	4.666667
714	603	171.489	17.68995486
425	55	101.2915427	0
682	291	1302.464074	15.21435616
487	486	0	8
505	508	341.793	3.74293706
579	582	764.745	0.67353975
306	722	0	1.333333
666	667	0	1
274	83	268.02	0
608	585	0	6.333333
12	443	272.514	0
145	66	0	0
621	554	18.459	14.00000248
771	78	0	0
652	664	251.34	0.666747188
723	719	273.525	11.4300217
698	447	13.71	8.000000431
844	860	0	22.666667
610	943	147.549	3.002167187
915	828	0	10.333333
270	269	0	0.666667
889	686	739.2597538	10.18651712
13	684	0	0
161	550	0	3
883	884	0	14.333333
54	211	447.8485427	0
351	344	0	2.333333
859	858	0	1.333333
121	122	0	0.666667
92	611	881.859	0
213	218	0	6.666667
415	314	459.033	19.3472983
177	174	1348.362	5.62014188
642	640	11.313	14.33333301
170	175	255.414	7.000484668
12	444	0	0
109	106	0	0.666667
152	30	0	0
271	264	369.438	4.335766007
802	805	352.77	2.667338898
201	202	0	1.333333
625	121	451.5115427	1.760904802
213	54	0	0
295	741	0	5
338	339	254.817	0.335475012
