<NUMBER OF ZONES> 4											
<NUMBER OF NODES> 36											
<FIRST THRU NODE> 1											
<NUMBER OF LINKS> 110											
<END OF METADATA>											
											
											
~ 	Tail	Head	Capacity (veh/h)	Length (ft)	Free Flow Time (min)	B	Power	Speed (ft/min) 	Toll 	Type	;
	14	15	2000	1	5	0.15	4	1	0	1	;
	14	20	2000	1	5	0.15	4	1	0	1	;
	15	9	2000	1	5	0.15	4	1	0	1	;
	15	14	2000	1	5	0.15	4	1	0	1	;
	15	16	2000	1	5	0.15	4	1	0	1	;
	15	21	2000	1	5	0.15	4	1	0	1	;
	16	10	2000	1	5	0.15	4	1	0	1	;
	16	15	2000	1	5	0.15	4	1	0	1	;
	16	17	2000	1	5	0.15	4	1	0	1	;
	16	22	2000	1	5	0.15	4	1	0	1	;
	17	11	2000	1	5	0.15	4	1	0	1	;
	17	16	2000	1	5	0.15	4	1	0	1	;
	17	18	2000	1	5	0.15	4	1	0	1	;
	17	23	2000	1	5	0.15	4	1	0	1	;
	18	12	2000	1	5	0.15	4	1	0	1	;
	18	17	2000	1	5	0.15	4	1	0	1	;
	18	24	2000	1	5	0.15	4	1	0	1	;
	19	13	2000	1	5	0.15	4	1	0	1	;
	19	20	2000	1	5	0.15	4	1	0	1	;
	19	25	2000	1	5	0.15	4	1	0	1	;
	20	14	2000	1	5	0.15	4	1	0	1	;
	20	19	2000	1	5	0.15	4	1	0	1	;
	20	21	2000	1	5	0.15	4	1	0	1	;
	20	26	2000	1	5	0.15	4	1	0	1	;
	21	15	2000	1	5	0.15	4	1	0	1	;
	21	20	2000	1	5	0.15	4	1	0	1	;
	21	22	2000	1	5	0.15	4	1	0	1	;
	21	27	2000	1	5	0.15	4	1	0	1	;
	22	16	2000	1	5	0.15	4	1	0	1	;
	22	21	2000	1	5	0.15	4	1	0	1	;
	22	23	2000	1	5	0.15	4	1	0	1	;
	22	28	2000	1	5	0.15	4	1	0	1	;
	23	17	2000	1	5	0.15	4	1	0	1	;
	23	22	2000	1	5	0.15	4	1	0	1	;
	23	24	2000	1	5	0.15	4	1	0	1	;
	23	29	2000	1	5	0.15	4	1	0	1	;
	24	18	2000	1	5	0.15	4	1	0	1	;
	24	23	2000	1	5	0.15	4	1	0	1	;
	24	30	2000	1	5	0.15	4	1	0	1	;
	25	19	2000	1	5	0.15	4	1	0	1	;
	25	26	2000	1	5	0.15	4	1	0	1	;
	25	31	2000	1	5	0.15	4	1	0	1	;
	26	20	2000	1	5	0.15	4	1	0	1	;
	26	25	2000	1	5	0.15	4	1	0	1	;
	26	27	2000	1	5	0.15	4	1	0	1	;
	26	32	2000	1	5	0.15	4	1	0	1	;
	27	21	2000	1	5	0.15	4	1	0	1	;
	27	26	2000	1	5	0.15	4	1	0	1	;
	27	28	2000	1	5	0.15	4	1	0	1	;
	27	33	2000	1	5	0.15	4	1	0	1	;
	28	22	2000	1	5	0.15	4	1	0	1	;
	28	27	2000	1	5	0.15	4	1	0	1	;
	28	29	2000	1	5	0.15	4	1	0	1	;
	28	34	2000	1	5	0.15	4	1	0	1	;
	29	23	2000	1	5	0.15	4	1	0	1	;
	29	28	2000	1	5	0.15	4	1	0	1	;
	29	30	2000	1	5	0.15	4	1	0	1	;
	29	35	2000	1	5	0.15	4	1	0	1	;
	30	24	2000	1	5	0.15	4	1	0	1	;
	30	29	2000	1	5	0.15	4	1	0	1	;
	30	36	2000	1	5	0.15	4	1	0	1	;
	31	25	2000	1	5	0.15	4	1	0	1	;
	31	32	2000	1	5	0.15	4	1	0	1	;
	31	32	2000	1	5	0.15	4	1	0	1	;
	32	26	2000	1	5	0.15	4	1	0	1	;
	32	31	2000	1	5	0.15	4	1	0	1	;
	32	33	2000	1	5	0.15	4	1	0	1	;
	33	27	2000	1	5	0.15	4	1	0	1	;
	33	32	2000	1	5	0.15	4	1	0	1	;
	33	34	2000	1	5	0.15	4	1	0	1	;
	34	28	2000	1	5	0.15	4	1	0	1	;
	34	33	2000	1	5	0.15	4	1	0	1	;
	34	35	2000	1	5	0.15	4	1	0	1	;
	35	29	2000	1	5	0.15	4	1	0	1	;
	35	34	2000	1	5	0.15	4	1	0	1	;
	35	36	2000	1	5	0.15	4	1	0	1	;
	36	30	2000	1	5	0.15	4	1	0	1	;
	36	35	2000	1	5	0.15	4	1	0	1	;
