source 	 dest 	 fft_centralized 	 fft_DSTAP 	 flow_Centralized 	 flow_DSTAP	Cost_centralized	Cost_DSTAP
8	9	10.0	10.0	6882.2174	31485.40744882702	15.173361666666667	2276.191333383558
19	17	2.0	2.0	9941.8971	20047.147409493966	7.4123616666666665	91.47878943644083
19	20	4.0	4.0	8687.008	7610.06878305634	9.455648333333333	7.213067412962586
24	13	4.0	4.0	11111.7413	30929.8531584231	17.613818333333334	821.2649835020754
8	16	5.0	5.0	8388.5409	20743.48843104794	10.729003333333333	219.22025535623177
2	1	6.0	6.0	4518.9142	2106.405340129673	6.0008333333333335	6.000039372934486
13	12	3.0	3.0	12378.5522	39291.070079287914	3.0234783333333333	5.3832819697425744
24	21	3.0	3.0	10259.7666	11225.256955385785	11.753405	15.543312889958678
2	6	5.0	5.0	5967.3872	33425.36158921272	6.573651666666667	1554.0885282409772
18	7	2.0	2.0	15858.2396	26085.023044523827	2.0632433333333333	2.46298284484102
24	23	2.0	2.0	7861.6812	14916.621230471646	3.7228133333333333	24.328440436627663
7	8	3.0	3.0	12100.998	22935.59247704001	5.551711666666667	35.92962727724954
13	24	4.0	4.0	11121.4478	22537.10312815763	17.66145	234.37949761672374
18	16	3.0	3.0	15336.5039	18199.161712844903	3.1659683333333333	3.3290991731138764
12	3	4.0	4.0	9973.4866	43606.30669665542	4.0197883333333335	11.23148044035872
18	20	4.0	4.0	18980.1944	15014.930976881607	4.259556666666667	4.10165373875305
23	14	4.0	4.0	8394.6393	8504.199337985723	9.065336666666667	9.33499353746202
1	2	6.0	6.0	4494.5404	35026.2957661827	6.000816666666666	9.010279617980038
7	18	2.0	2.0	15798.0425	21135.056075562683	2.06229	2.1995324880541895
1	3	4.0	4.0	8118.9142	7243.561845709415	4.00869	4.005506031426401
12	11	6.0	6.0	8405.0656	8371.733472544693	13.735638333333334	13.613656373811708
12	13	3.0	3.0	12288.2587	29425.063141582734	3.0228016666666666	3.749669105986641
23	22	4.0	4.0	9626.2783	29199.214542445745	12.243371666666667	701.8400803194244
23	24	2.0	2.0	7902.3232	31709.394336925347	3.7587166666666665	457.9616635500129
6	2	5.0	5.0	5991.761	798.9297192527126	6.59952	5.000505598862643
17	10	8.0	8.0	8100.0	18773.84403131671	16.308016666666667	247.7563569684005
6	5	4.0	4.0	8806.4836	17587.659035300934	10.020661666666667	99.77810221169922
6	8	2.0	2.0	12492.8293	28011.22315942645	14.690565	322.7495214078539
17	16	2.0	2.0	11682.5508	18079.942699016174	9.469561666666667	44.84819892423358
17	19	2.0	2.0	9953.1775	22943.247800894896	7.436968333333334	155.50741123024483
11	4	6.0	6.0	5300.0	5210.057358005773	7.223025	7.142093648466829
22	15	3.0	3.0	18385.875	26513.922933417867	9.05638	29.192190940937756
