source 	 destination 	 flow 	 cost(min)
91	84	8100	16.30801715
14	22	2804.342669	3.488128422
63	65	1451.659929	0.549877713
79	78	20203.14062	2.499800633
19	18	756.456144	1.119195047
6	8	3266.711876	0.871578333
39	38	2739.623401	0.979461201
116	105	18342.01931	2.113184925
41	49	187.827221	11.4680333
109	108	17608.8323	12.21080072
45	47	0	1.52214
78	77	16716.33873	4.546591271
1	7	918.488499	4.456426621
21	23	2722.878198	1.342036094
3	6	1342.992164	2.190824921
47	46	293.605903	0.801783243
10	18	717.390365	3.022198924
85	84	18083.31352	13.01998049
120	113	18401.57332	9.077090377
32	33	3627.232263	3.366874038
101	102	14139.72506	4.279809142
48	51	71.62039276	11.50236224
53	48	1577.773264	4.329011196
74	48	2452.341716	1.966879242
58	20	1380.768721	3.855050154
33	27	1838.116009	4.913686702
94	95	6384.973815	8.281954704
22	28	171.318326	5.184575777
87	52	0	20
84	90	11686.1513	24.14233312
72	60	0	2.18312
65	63	668.321223	0.5734906
23	22	0	3.56516
39	40	4955.739694	0.385786204
108	113	23259.10946	13.90198305
71	35	0	2.40634
106	114	8513.902434	11.07922244
44	43	934.267181	1.384824404
104	106	12447.73158	14.50830845
57	56	146.285293	3.253833969
50	49	516.59241	3.768307389
72	59	0	1.63894
93	91	9858.866144	7.233806294
60	30	1544.692534	2.357596757
55	57	136.826753	3.745512307
24	26	3961.667318	0.478136603
83	79	17342.32201	11.78406885
60	71	0	6.79448
97	98	7981.251312	3.830039593
23	21	1614.862524	1.323809603
51	50	99.558776	5.881845418
69	67	310.301041	5.624568828
97	88	8485.364841	9.287888056
18	10	1299.745069	3.012870886
48	40	0	12.92354
60	61	599.37131	13.00359424
54	53	1077.995826	4.144716817
80	76	6423.846598	7.11325754
96	94	7007.664873	7.725032845
106	104	12486.31185	14.66410296
22	17	0	3.3478
37	42	0	3.39272
54	44	0	5.25274
103	102	18164.97055	2.326632991
108	115	8100	16.30801715
117	113	19451.15618	4.431468131
60	59	1583.254546	2.636638555
9	94	4000	15.9216
110	101	10123.64035	4.021007619
115	114	11660.55573	9.413467178
17	16	2149.506167	0.446224951
57	58	444.876396	3.248632532
60	69	843.841318	3.862938365
48	39	4677.241791	5.590730703
25	22	0	3.80074
84	91	8100	16.30801715
93	89	20662.22309	4.822670586
41	40	4502.244409	1.036548697
3	7	0	6.98116
2	3	1193.292299	3.200435208
17	6	0	7.22742
47	45	0	1.62606
22	29	5511.200588	2.151322009
22	19	0	3.55502
79	80	8779.212187	9.946429308
119	120	8673.60919	4.269570998
95	98	10634.29754	13.10327842
32	31	1141.766139	1.207446416
106	105	11784.28194	5.294877241
67	60	310.029831	2.610406077
20	10	883.978681	3.390378159
63	62	483.886643	1.164938447
29	49	0	17.25312
116	77	0	25
116	118	22498.30739	4.512423904
41	29	4706.172856	1.776916843
18	21	737.787324	1.582917176
118	116	21542.40169	4.430731343
42	43	296.880699	1.659843297
26	25	0	1.1323
1	9	422.756	8.061879691
108	114	11051.58811	20.11100073
71	36	624.560928	4.163153919
9	13	2003.168074	6.559920732
45	46	2634.154911	0.541239352
48	49	448.99652	4.930344673
88	89	9289.205121	13.07874593
89	93	20462.48324	4.75320761
20	30	682.943541	3.706613324
85	86	9044.265812	16.37110353
34	60	1968.884824	2.823226687
112	121	8411.621228	9.106449074
46	44	1643.303467	0.913029974
90	84	11817.3019	25.06187731
13	14	3388.013522	2.857062927
35	34	1689.131345	2.584412724
15	13	0	5.93064
75	76	5162.776084	6.001420899
97	96	9847.501685	13.02766611
106	107	6807.596618	14.95261488
77	116	292.5302905	25.00004394
28	22	0	5.1471
77	75	8762.776084	4.011792255
46	54	2790.240248	3.170391967
48	53	1695.702397	4.267348496
22	25	0	4.19924
66	65	222.773741	1.926264477
27	28	547.4339544	0.990399382
8	11	1825.905027	1.703648874
83	82	7219.736684	16.26534134
115	108	8100	16.30801715
12	9	450.867381	2.872855132
48	74	293.605903	2.229541918
80	79	8828.603065	10.08137862
102	109	5200	7.13330048
19	11	0	7.45594
109	110	8405.170175	13.73602281
67	69	194.332498	5.587134703
10	11	1281.018224	0.525611829
47	48	0	5.48942
38	37	2938.18359	1.093784649
16	17	2076.864598	0.425803066
19	22	0	3.63906
22	14	3110.367302	3.513225808
122	119	10238.9411	11.68254954
100	99	4479.108422	6.000805001
103	104	8797.339889	9.995695427
111	110	12570.08349	3.024966212
115	117	10039.44427	7.627927016
33	24	8176.702766	5.893603626
21	20	1037.695437	5.640690213
26	24	3350.508159	0.315268287
30	31	3486.063146	0.658242476
33	34	4059.164549	1.416468495
65	60	0	4.81432
24	23	3433.640548	0.719423596
11	5	0	7.4949
77	86	12847.65504	4.054491086
120	121	9663.50275	12.37162047
94	93	9731.648047	12.5923327
88	85	10186.55664	15.42417907
48	52	2576.322821	7.258780687
81	82	13135.31288	6.542490135
86	77	12391.32584	4.047152107
22	16	2668.038545	0.975806076
50	51	513.381987	5.776319259
20	58	709.011595	3.760708541
51	48	108.7340706	11.41665074
94	9	3000	23.44712
38	39	2680.329643	0.992260305
79	83	16971.49744	11.22217061
32	60	1615.299249	2.272523648
30	20	1196.909885	3.748330157
122	121	7831.810828	3.696779065
75	77	8956.062144	4.012867625
91	90	11769.42496	9.694233286
112	113	9039.637217	12.2449225
42	45	2015.58726	1.68531325
69	60	770.712607	3.66933879
64	65	222.773741	1.654138193
67	68	0	0.78412
21	22	2339.279274	2.132534695
86	87	12340.84178	3.023194186
108	107	21954.74806	5.788014814
60	67	644.397972	2.527018447
57	55	146.285293	3.66629574
122	111	11058.06267	17.35265558
40	48	0	12.49212
23	31	0	9.17106
69	70	0	1.54498
44	54	0	5.24372
113	117	19425.73103	4.423998347
24	25	3364.241859	0.560844069
92	94	21073.69184	4.394450487
113	108	23312.01058	13.97411858
117	115	10020.43424	7.585421251
10	20	491.377496	3.337987281
17	14	1617.018861	2.111616887
35	36	3314.829026	1.893836641
76	80	6230.560538	6.870166452
78	79	19782.92518	2.459497643
88	97	8461.342581	9.228261338
84	89	23958.22311	14.89574211
118	52	4000	26.536
52	53	1748.335537	2.703647948
6	3	2231.204483	2.159476583
14	17	1137.47585	2.025086661
95	96	8684.518324	4.281010666
94	92	21627.08519	4.437544229
81	92	15464.65343	2.057195356
18	19	339.307516	0.704520953
36	71	569.943953	4.161286167
58	59	317.773638	2.611649641
119	118	6024.496489	7.808645948
6	13	348.192211	5.664422956
71	69	569.943953	4.765532846
63	60	1113.868705	2.813423936
118	119	6073.987076	7.868813624
120	118	7000	7.71313
56	57	136.826753	3.177730442
71	60	0	6.7478
25	26	0	1.20616
34	32	2912.801069	0.550644275
31	23	870.184767	10.5373576
21	18	350.80882	1.592784102
69	71	624.560928	4.812146655
102	101	14164.97055	4.281812819
114	116	21552.34753	3.647291018
45	42	245.653391	1.746200736
3	1	693.500544	4.806158803
61	60	355.512629	13.00112674
90	92	17178.63033	3.261261486
9	111	0	12
73	49	0	5.07378
40	39	4542.037091	0.402269372
95	94	6181.975632	8.005301566
82	80	13384.66521	18.7212128
104	100	6012.632019	6.621923187
30	60	414.515966	2.284297795
68	67	0	0.83124
7	9	1734.830322	8.216342782
121	112	8403.846701	9.08759648
33	32	306.491427	1.967115115
87	98	11340.84178	18.77177297
49	50	515.720166	3.744248496
114	106	8527.978955	11.11952676
84	85	18361.60716	13.52518926
90	91	11841.13386	9.883472098
6	4	0	3.03286
11	8	1281.018224	1.704190995
49	29	0	17.54204
53	54	517.790997	4.02046753
35	27	0	9.29384
92	90	17491.73862	3.280836253
77	78	16160.76531	4.477469608
46	47	2452.341716	0.813611667
82	90	8666.697142	11.52751443
4	6	0	3.06624
109	102	5300	7.223024555
98	87	11515.54885	19.70326745
13	6	458.362061	5.591389368
118	120	7000	7.71313
27	26	1290.682055	1.458061988
59	72	0	1.61714
96	89	18596.7437	9.339040001
107	103	15850.4553	9.733999748
43	44	915.44835	1.330903251
83	84	23782.13515	6.838703926
109	112	9820.366136	13.867931
54	48	236.651935	7.22669762
34	33	4603.928707	1.466255227
1	3	848.585251	4.779925189
5	10	0	3.0204
116	114	21614.79425	3.654825644
42	37	0	3.44578
9	7	1412.4434	4.788146459
44	36	1956.959304	2.149583034
16	19	756.456144	1.379133547
73	50	0	4.23654
93	94	9603.617098	12.14901005
113	120	18431.61895	9.116877779
31	32	5246.660442	1.30859461
62	63	222.773741	1.04548414
44	46	3403.323902	0.926201631
46	45	943.998072	0.550546822
117	118	8875.679684	9.945275592
24	33	3969.879358	4.223025296
43	42	235.9225	1.738939243
75	100	0	24
58	57	780.029448	3.168900217
99	101	8079.108422	4.008520866
105	86	3000	12.23328
98	97	7874.347819	3.733943407
100	75	0	17
120	119	8669.936524	4.265729421
86	105	3707.469709	18.81619549
114	115	11679.56576	9.461929786
38	42	3289.042229	1.747634568
59	60	2501.320519	3.252878201
3	2	1171.740411	3.182465202
103	107	15835.07335	9.715650182
22	23	0	3.56624
60	34	825.6889106	4.151118563
90	82	8776.945922	11.86605138
65	66	483.886643	1.768008253
92	81	15804.93849	2.062398082
111	9	0	24
108	109	17732.85547	12.41610655
5	11	0	7.6494
16	8	989.028947	3.53721998
102	103	18139.72506	2.324820968
105	116	18967.84145	2.129440936
86	85	8967.83238	16.02493642
52	51	509.4134512	4.243677449
89	88	9398.680647	13.4663713
60	65	0	4.89084
27	35	0	9.22166
42	38	1174.027252	2.021567721
8	4	0	1.81946
17	22	0	3.47984
49	48	515.807934	4.885316952
111	122	11070.75193	17.41405046
50	73	0	4.23654
13	15	0	5.7175
105	106	11865.92951	5.359141652
48	54	530.046085	7.108305668
36	43	0	4.7388
101	99	8050.391692	4.008400363
